Sacramento,cada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
100,The WildHats,4.44,0.24,1.18,1.27,0.17,0.00,10.39,0.17,-1.00,-1.00,3.46,16.10,0.03,3.55,1.11,0.33,0.44,-0.14,0.00,18.53,0.14,-1.00,-1.00,48.80,0.32,-0.08,0.34,29.16,0.56,-1.00,-1.00,0.07,0.00,0.10,0.29,0.73,-0.07,18.64,-0.40,28.92,0.64,0.31,-1.00,-1.00,2.38,64.50,65.86,0.14,-6.64,1420,,,,,
199,Deep Blue,6.09,0.10,-1.71,-1.72,0.22,0.00,12.90,0.22,-1.00,-1.00,4.30,17.28,-0.15,-0.87,-0.28,0.33,0.33,-0.09,0.00,14.40,0.08,-1.00,-1.00,86.94,0.49,0.44,0.53,72.81,0.93,-1.00,-1.00,-0.11,0.00,0.39,0.47,-0.01,-0.02,1.83,1.82,27.31,0.58,0.30,-1.00,-1.00,-2.00,106.03,103.92,0.54,52.17,1448,,,,,
295,Grizzly Robotics Team,3.87,-0.01,1.82,1.81,0.16,0.00,9.60,0.16,-1.00,-1.00,3.20,15.27,0.01,-4.76,-1.57,0.33,0.30,0.06,0.00,21.10,0.63,-1.00,-1.00,51.04,0.41,-0.00,0.23,31.51,0.78,-1.00,-1.00,0.02,0.00,-0.17,0.24,-0.09,0.54,-3.03,14.83,30.70,0.69,0.79,-1.00,-1.00,0.24,81.14,81.55,0.28,3.08,1402,,,,,
585,Cyber Penguins,4.75,0.20,-2.88,-2.83,-0.02,0.00,-1.31,-0.02,-1.00,-1.00,-0.44,0.62,0.17,7.68,2.60,0.33,0.18,-0.01,0.00,20.92,0.33,-1.00,-1.00,36.35,0.09,-0.08,0.25,12.83,0.56,-1.00,-1.00,-0.01,0.00,0.08,0.22,0.72,0.17,18.43,5.31,19.62,0.50,0.30,-1.00,-1.00,-0.23,42.27,42.16,0.12,-42.45,1316,,,,,
649,M-SET Fish,5.85,-0.10,-0.94,-0.97,0.54,0.00,32.45,0.54,-1.00,-1.00,10.82,37.34,0.14,-14.06,-4.66,0.33,0.43,0.40,0.00,24.65,1.90,-1.00,-1.00,66.45,0.20,0.44,0.29,46.46,0.82,-1.00,-1.00,-0.05,0.00,0.05,-0.02,0.09,0.12,2.50,2.94,57.11,1.16,2.44,-1.00,-1.00,-5.63,106.73,105.72,0.13,6.61,1531,,,,,
692,The Fembots,3.14,0.16,-0.31,-0.30,0.20,0.00,12.03,0.20,-1.00,-1.00,4.01,14.87,0.28,-0.78,-0.09,0.33,0.43,-0.19,0.00,14.97,-0.12,-1.00,-1.00,27.34,0.23,0.08,-0.07,12.45,0.33,-1.00,-1.00,-0.02,0.00,-0.19,0.45,0.51,-0.08,11.86,0.14,27.00,0.57,0.08,-1.00,-1.00,-0.39,42.34,42.01,0.20,-41.10,1362,,,,,
701,RoboVikes,5.32,0.05,-1.11,-1.09,0.21,0.00,12.70,0.21,-1.00,-1.00,4.23,16.93,-0.23,6.48,2.16,0.33,0.35,0.38,0.00,34.10,2.02,-1.00,-1.00,79.51,0.08,0.37,0.42,43.25,0.73,-1.00,-1.00,-0.15,0.00,-0.15,-0.05,0.16,0.23,3.27,5.48,46.80,1.06,2.23,-1.00,-1.00,1.07,101.91,98.99,0.27,23.78,1512,,,,,
973,Greybots,4.46,-0.22,5.55,5.49,0.40,0.00,23.82,0.40,-1.00,-1.00,7.94,33.77,0.10,84.21,27.75,0.33,0.26,0.00,0.00,7.97,0.13,-1.00,-1.00,78.49,0.26,0.51,0.08,42.77,0.67,-1.00,-1.00,0.44,0.00,-0.23,-0.08,-0.08,-0.11,-3.08,-3.25,31.79,0.60,0.52,-1.00,-1.00,33.24,109.01,117.88,0.40,52.32,1659,,,,,
1056,Hot Rocks,5.35,-0.05,6.61,6.60,0.42,0.00,25.29,0.42,-1.00,-1.00,8.43,37.24,0.41,7.43,2.55,0.33,0.24,-0.09,0.00,2.67,-0.28,-1.00,-1.00,42.64,0.25,0.14,0.36,37.43,0.67,-1.00,-1.00,0.03,0.00,-0.06,0.06,0.42,-0.21,10.21,-5.02,27.96,0.49,0.14,-1.00,-1.00,9.15,74.87,75.45,0.21,11.42,1505,,,,,
