SanDiego,casd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
4,Team 4 ELEMENT,3.30,0.06,-0.50,-0.47,-0.22,0.00,-13.11,-0.22,-1.00,-1.00,-4.37,-10.28,-4.53,6.27,1.31,0.33,0.37,0.25,0.00,46.78,1.92,-1.00,-1.00,65.02,-0.11,0.47,-0.02,16.93,0.13,-1.00,-1.00,0.00,0.00,0.08,0.98,0.07,0.70,2.25,22.53,33.67,0.95,1.70,-1.00,-1.00,0.84,77.27,77.27,0.07,-5.28,1426,,,,,
399,Eagle Robotics,4.14,1.12,3.06,3.43,0.16,0.00,9.88,0.16,-1.00,-1.00,3.29,17.46,72.19,0.99,8.10,0.33,0.42,0.11,0.00,28.03,1.10,-1.00,-1.00,83.45,0.34,0.20,0.40,47.32,0.69,-1.00,-1.00,0.00,0.00,0.02,0.07,-0.16,-0.39,-3.93,-9.29,37.91,0.87,1.26,-1.00,-1.00,11.54,91.62,91.62,0.46,59.13,1570,,,,,
812,The Midnight Mechanics,4.86,0.03,-0.12,-0.11,-0.14,0.00,-8.60,-0.14,-1.00,-1.00,-2.87,-3.85,-3.10,-0.64,-0.52,0.33,0.47,0.07,0.00,40.53,1.33,-1.00,-1.00,73.96,0.31,0.34,0.03,33.95,0.38,-1.00,-1.00,0.00,0.00,0.11,0.42,-0.12,-0.09,-2.32,-0.25,31.93,0.87,1.19,-1.00,-1.00,-0.64,69.86,69.86,0.36,52.45,1486,,,,,
968,RAWC (Robotics Alliance Of West Covina),1.55,-0.13,-0.41,-0.47,-0.08,0.00,-4.99,-0.08,-1.00,-1.00,-1.66,-3.91,2.18,0.23,0.40,0.33,0.59,0.11,0.00,44.83,1.65,-1.00,-1.00,73.57,0.39,-0.14,0.32,28.34,0.54,-1.00,-1.00,0.00,0.00,0.94,0.08,0.05,0.18,5.99,4.95,39.83,1.04,1.57,-1.00,-1.00,-0.06,74.60,74.60,0.18,15.97,1484,,,,,
1266,The Devil Duckies,6.27,-0.26,-0.23,-0.31,0.18,0.00,10.58,0.18,-1.00,-1.00,3.53,16.54,-4.14,-1.20,-0.79,0.33,0.21,-0.02,0.00,13.90,0.30,-1.00,-1.00,22.18,-0.08,0.04,0.23,9.07,0.13,-1.00,-1.00,0.00,0.00,-0.10,0.67,0.62,0.27,14.97,10.02,24.48,0.52,0.47,-1.00,-1.00,-1.10,48.73,48.73,0.09,5.51,1438,,,,,
1538,The Holy Cows,3.43,-0.03,0.80,0.79,0.70,0.00,41.80,0.70,-1.00,-1.00,13.93,46.02,-0.09,2.25,0.71,0.33,0.39,0.66,0.00,27.22,2.70,-1.00,-1.00,75.13,0.45,0.12,0.37,47.21,0.64,-1.00,-1.00,0.00,0.00,0.17,-0.03,0.27,0.28,7.60,6.77,69.01,1.38,3.40,-1.00,-1.00,1.50,127.93,127.93,0.57,59.39,1619,,,,,
1572,The Hammer Heads,4.14,0.68,-0.35,-0.20,0.02,0.00,1.36,0.02,-1.00,-1.00,0.45,5.29,-1.26,0.57,0.06,0.33,0.16,0.11,0.00,23.37,0.71,-1.00,-1.00,56.39,0.25,0.32,0.09,32.96,0.25,-1.00,-1.00,0.00,0.00,-0.18,-0.20,0.43,0.27,9.73,5.84,24.73,0.61,0.74,-1.00,-1.00,-0.14,67.52,67.52,0.34,42.15,1523,,,,,
1622,Team Spyder,2.12,1.19,-0.29,0.12,0.11,0.00,6.46,0.11,-1.00,-1.00,2.15,8.70,13.98,4.17,2.63,0.33,0.11,-0.09,0.00,9.80,-0.23,-1.00,-1.00,34.34,0.10,0.32,0.02,21.91,0.20,-1.00,-1.00,0.00,0.00,-0.29,0.12,0.70,0.16,15.91,4.53,16.26,0.35,-0.12,-1.00,-1.00,2.75,47.57,47.57,-0.18,-53.56,1340,,,,,
1836,The MilkenKnights,2.14,0.01,0.58,0.58,-0.05,0.00,-2.71,-0.05,-1.00,-1.00,-0.90,0.01,18.65,-0.10,2.05,0.33,0.34,0.10,0.00,32.99,1.17,-1.00,-1.00,61.94,0.22,0.25,0.07,26.90,0.25,-1.00,-1.00,0.00,0.00,-0.11,-0.16,0.35,0.66,8.24,15.79,30.27,0.78,1.12,-1.00,-1.00,2.63,77.74,77.74,0.21,12.55,1545,,,,,
2102,Team Paradox,5.39,-0.15,0.27,0.23,0.28,0.00,17.02,0.28,-1.00,-1.00,5.67,22.64,16.11,6.36,3.79,0.33,0.36,0.18,0.00,23.64,1.15,-1.00,-1.00,50.41,0.38,-0.03,0.10,22.98,0.67,-1.00,-1.00,0.00,0.00,0.06,-0.16,-0.03,-0.20,-0.55,-5.69,40.66,0.87,1.43,-1.00,-1.00,4.03,67.36,67.36,0.35,33.48,1540,,,,,
2144,Gators,4.45,0.04,0.45,0.48,0.28,0.00,17.09,0.28,-1.00,-1.00,5.70,22.02,6.94,0.16,0.72,0.33,0.52,0.13,0.00,27.88,1.25,-1.00,-1.00,88.62,0.02,0.50,0.68,60.02,0.54,-1.00,-1.00,0.00,0.00,-0.05,0.00,0.46,-0.07,11.24,-1.74,44.97,0.98,1.54,-1.00,-1.00,1.20,108.89,108.89,0.32,49.60,1518,,,,,
2404,TNT,0.03,-0.06,-0.06,-0.07,0.05,0.00,3.13,0.05,-1.00,-1.00,1.04,3.09,0.40,-0.68,-0.15,0.33,0.38,0.02,0.00,27.27,0.78,-1.00,-1.00,38.20,0.05,0.32,-0.15,11.08,0.50,-1.00,-1.00,0.00,0.00,-0.08,0.06,0.54,-0.19,12.98,-4.49,30.39,0.73,0.84,-1.00,-1.00,-0.22,36.81,36.81,0.02,-34.58,1340,,,,,
2465,Kauaibots,4.29,-0.13,-1.15,-1.18,-0.11,0.00,-6.77,-0.11,-1.00,-1.00,-2.26,-3.66,8.93,0.84,1.25,0.33,-0.15,-0.11,0.00,7.33,-0.52,-1.00,-1.00,21.93,-0.17,0.37,0.07,13.36,0.13,-1.00,-1.00,0.00,0.00,0.20,-0.15,0.65,0.01,17.28,-0.38,0.56,0.07,-0.63,-1.00,-1.00,0.07,17.90,17.90,-0.32,-59.05,1382,,,,,
2485,WARLords,4.69,-0.15,1.10,1.05,0.42,0.00,25.15,0.42,-1.00,-1.00,8.38,30.89,-13.88,2.63,-1.04,0.33,0.21,0.20,0.00,13.06,0.83,-1.00,-1.00,32.50,0.02,0.35,0.03,20.47,0.46,-1.00,-1.00,0.00,0.00,0.02,-0.12,-0.08,0.01,-1.90,-0.31,38.21,0.75,1.25,-1.00,-1.00,0.02,63.08,63.08,0.05,-10.59,1521,,,,,
2543,TitanBot,2.90,0.03,0.01,0.02,0.06,0.00,3.65,0.06,-1.00,-1.00,1.22,6.56,-5.13,-0.73,-0.79,0.33,0.16,0.34,0.00,30.68,1.62,-1.00,-1.00,53.96,0.15,0.16,0.17,24.07,0.60,-1.00,-1.00,0.00,0.00,0.83,0.06,-0.24,0.68,-1.99,17.39,34.33,0.83,1.68,-1.00,-1.00,-0.77,77.92,77.92,0.23,-0.30,1499,,,,,
2637,Phantom Catz,3.43,0.09,0.43,0.45,0.10,0.00,6.05,0.10,-1.00,-1.00,2.02,9.93,2.40,-0.28,0.15,0.33,0.24,0.01,0.00,19.18,0.43,-1.00,-1.00,47.63,0.52,-0.21,0.26,28.30,0.67,-1.00,-1.00,0.00,0.00,-0.21,0.25,0.54,0.03,12.49,2.03,25.23,0.58,0.53,-1.00,-1.00,0.60,59.59,59.59,0.22,-4.69,1578,,,,,
2658,Σ-Motion,2.36,-0.24,0.07,-0.01,0.39,0.00,23.28,0.39,-1.00,-1.00,7.76,25.63,-3.55,0.82,-0.10,0.33,0.40,0.17,0.00,20.47,1.09,-1.00,-1.00,31.51,0.18,-0.19,0.23,11.14,0.50,-1.00,-1.00,0.00,0.00,0.03,-0.08,-0.37,-0.13,-9.09,-3.68,43.75,0.90,1.48,-1.00,-1.00,-0.11,53.46,53.46,0.04,-25.68,1407,,,,,
2827,Crown City Robotics,5.02,-0.00,-0.24,-0.27,-0.10,0.00,-6.12,-0.10,-1.00,-1.00,-2.04,-1.38,-0.42,-0.55,-0.22,0.33,0.45,-0.19,0.00,28.01,0.24,-1.00,-1.00,35.35,0.23,-0.06,-0.01,7.57,0.25,-1.00,-1.00,0.00,0.00,0.09,-0.23,-0.10,0.21,-2.10,4.22,21.89,0.60,0.14,-1.00,-1.00,-0.50,38.20,38.20,0.17,4.46,1389,,,,,
2839,Daedalus,4.13,0.18,1.43,1.50,-0.04,0.00,-2.41,-0.04,-1.00,-1.00,-0.80,3.22,4.75,1.02,0.92,0.33,0.19,0.19,0.00,30.12,1.18,-1.00,-1.00,66.44,0.15,0.45,0.10,35.41,0.67,-1.00,-1.00,0.00,0.00,-0.28,0.11,0.11,-0.06,1.34,-0.93,27.71,0.71,1.14,-1.00,-1.00,2.41,68.73,68.73,0.33,23.75,1521,,,,,
2984,The Vikings,3.20,0.07,0.14,0.17,-0.14,0.00,-8.64,-0.14,-1.00,-1.00,-2.88,-5.27,3.49,-0.64,0.31,0.33,0.28,0.02,0.00,31.16,0.78,-1.00,-1.00,20.78,-0.16,-0.17,0.11,-10.69,0.25,-1.00,-1.00,0.00,0.00,0.35,0.99,0.66,0.09,18.13,7.31,22.52,0.64,0.64,-1.00,-1.00,0.48,22.82,22.82,-0.29,-91.99,1296,,,,,
3011,RoboWarriors,5.05,1.06,-1.05,-0.69,0.25,0.00,14.95,0.25,-1.00,-1.00,4.98,19.31,12.73,-1.33,1.00,0.33,0.44,0.04,0.00,22.72,0.78,-1.00,-1.00,48.10,0.21,0.53,-0.25,24.38,0.64,-1.00,-1.00,0.00,0.00,-0.01,-0.00,-0.22,0.58,-5.43,14.55,37.67,0.82,1.02,-1.00,-1.00,0.31,81.95,81.95,0.18,29.65,1523,,,,,
3021,The  Agency,5.69,0.06,-0.29,-0.27,-0.20,0.00,-11.98,-0.20,-1.00,-1.00,-3.99,-6.55,-1.88,1.00,0.04,0.33,0.03,0.09,0.00,26.19,0.59,-1.00,-1.00,28.16,0.09,-0.27,0.21,1.94,0.25,-1.00,-1.00,0.00,0.00,0.12,-0.12,-0.54,0.12,-12.97,2.47,14.21,0.46,0.39,-1.00,-1.00,-0.23,24.08,24.08,0.09,-3.54,1502,,,,,
3128,Aluminum Narwhals,4.81,0.01,1.60,1.60,0.42,0.00,25.01,0.42,-1.00,-1.00,8.34,31.41,-2.40,-1.81,-0.83,0.33,0.53,0.11,0.00,22.17,1.08,-1.00,-1.00,65.80,0.19,0.15,0.55,44.46,0.73,-1.00,-1.00,0.00,0.00,-0.36,0.02,0.20,0.20,3.28,5.12,47.18,0.97,1.49,-1.00,-1.00,0.76,102.33,102.33,0.30,59.58,1519,,,,,
3250,Kennedy Robotics,3.41,-0.16,-0.63,-0.67,0.05,0.00,2.99,0.05,-1.00,-1.00,1.00,5.73,-0.23,0.16,0.03,0.33,0.28,0.33,0.00,35.73,1.80,-1.00,-1.00,48.16,0.18,0.26,-0.19,12.40,0.63,-1.00,-1.00,0.00,0.00,0.25,0.27,0.06,-0.08,2.61,-0.57,38.72,0.94,1.85,-1.00,-1.00,-0.64,53.32,53.32,0.06,-7.39,1589,,,,,
3255,Super NURDs,2.26,0.11,0.66,0.71,0.09,0.00,5.36,0.09,-1.00,-1.00,1.79,8.33,3.31,0.12,0.30,0.33,0.39,0.25,0.00,35.73,1.69,-1.00,-1.00,51.78,-0.07,0.12,0.27,15.76,0.25,-1.00,-1.00,0.00,0.00,0.06,0.20,0.37,0.22,9.65,6.60,41.09,0.98,1.78,-1.00,-1.00,1.01,66.72,66.72,0.27,42.82,1583,,,,,
3328,NohoRobo,5.48,0.01,0.85,0.85,-0.04,0.00,-2.54,-0.04,-1.00,-1.00,-0.85,3.79,5.32,2.35,1.36,0.33,0.45,-0.09,0.00,29.51,0.55,-1.00,-1.00,50.21,0.09,0.14,0.16,19.34,0.40,-1.00,-1.00,0.00,0.00,0.15,-0.21,0.17,0.06,4.94,0.32,26.97,0.70,0.51,-1.00,-1.00,2.21,54.32,54.32,0.24,-8.39,1412,,,,,
3341,Option 16,5.06,0.04,0.64,0.65,0.50,0.00,30.21,0.50,-1.00,-1.00,10.07,35.92,4.06,-0.04,0.47,0.33,0.47,0.17,0.00,18.91,1.12,-1.00,-1.00,20.57,0.24,-0.28,0.06,1.19,0.13,-1.00,-1.00,0.00,0.00,0.14,-0.02,0.26,0.37,7.32,9.19,49.13,0.98,1.62,-1.00,-1.00,1.12,65.69,65.69,0.36,10.68,1432,,,,,
3473,3473: Team Sprocket,6.28,-0.35,-0.75,-0.86,0.22,0.00,12.92,0.22,-1.00,-1.00,4.31,18.34,3.03,-0.40,0.28,0.33,0.52,0.06,0.00,28.10,1.06,-1.00,-1.00,59.82,0.39,-0.23,0.47,31.44,0.60,-1.00,-1.00,0.00,0.00,0.03,0.21,-0.22,0.62,-5.24,16.62,41.02,0.92,1.27,-1.00,-1.00,-0.58,94.78,94.78,0.53,63.74,1555,,,,,
3476,Code Orange,2.75,0.07,-0.28,-0.25,0.18,0.00,10.57,0.18,-1.00,-1.00,3.52,13.07,-4.50,-1.27,-0.84,0.33,0.27,0.18,0.00,24.07,1.06,-1.00,-1.00,18.27,-0.14,0.08,-0.04,-4.96,0.18,-1.00,-1.00,0.00,0.00,-0.04,0.21,-0.11,0.54,-2.86,14.66,34.64,0.78,1.24,-1.00,-1.00,-1.09,46.00,46.00,0.27,-6.16,1607,,,,,
3647,Millennium Falcons,3.59,-0.09,0.20,0.18,0.07,0.00,4.26,0.07,-1.00,-1.00,1.42,8.03,2.48,-0.06,0.20,0.33,0.45,0.51,0.00,48.67,2.84,-1.00,-1.00,93.77,0.11,0.64,0.15,44.90,0.73,-1.00,-1.00,0.00,0.00,0.92,-0.09,-0.03,-0.06,3.88,-1.87,52.93,1.29,2.92,-1.00,-1.00,0.38,99.93,99.93,0.58,75.21,1559,,,,,
3704,Robosapiens,5.68,-0.07,0.17,0.15,0.26,0.00,15.39,0.26,-1.00,-1.00,5.13,21.22,-0.17,-0.06,-0.06,0.33,0.43,-0.00,0.00,20.17,0.61,-1.00,-1.00,43.55,-0.01,0.24,0.24,23.44,0.25,-1.00,-1.00,0.00,0.00,0.39,0.02,-0.04,-0.35,0.96,-8.73,35.56,0.76,0.87,-1.00,-1.00,0.09,56.04,56.04,-0.04,-14.09,1370,,,,,
3749,Team Optix,4.08,-0.10,-0.93,-0.97,-0.05,0.00,-2.88,-0.05,-1.00,-1.00,-0.96,0.23,-1.28,0.03,-0.18,0.33,0.26,-0.15,0.00,19.60,-0.08,-1.00,-1.00,22.81,0.28,-0.21,0.00,3.40,0.13,-1.00,-1.00,0.00,0.00,-0.07,-0.30,0.03,0.26,0.42,4.99,16.71,0.44,-0.13,-1.00,-1.00,-1.15,28.03,28.03,0.08,-24.29,1349,,,,,
