SanFrancisco,casf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
254,The Cheesy Poofs,3.82,0.01,7.93,7.93,0.27,0.00,16.19,0.27,-1.00,-1.00,5.40,27.93,0.11,81.83,27.07,0.36,0.38,0.33,0.00,31.85,1.82,-1.00,-1.00,114.66,0.34,0.39,0.39,55.74,0.94,-1.00,-1.00,0.39,0.00,0.19,0.11,0.14,0.15,4.37,4.25,48.04,1.07,2.09,-1.00,-1.00,34.99,146.84,154.57,0.72,115.11,1807,,,,,
581,Blazing Bulldogs,5.14,-0.02,0.57,0.57,-0.06,0.00,-3.61,-0.06,-1.00,-1.00,-1.20,2.10,-0.35,13.64,4.53,0.36,0.34,-0.10,0.00,26.48,0.37,-1.00,-1.00,42.23,0.35,0.05,-0.17,11.22,0.20,-1.00,-1.00,0.11,0.00,-0.09,-0.02,0.27,0.31,6.23,7.73,22.87,0.60,0.31,-1.00,-1.00,5.10,52.05,54.18,0.08,-28.57,1389,,,,,
604,Quixilver,5.61,-0.01,0.23,0.23,0.65,0.00,39.10,0.65,-1.00,-1.00,13.03,44.94,-0.84,0.17,-0.01,0.34,0.39,0.57,0.00,25.88,2.42,-1.00,-1.00,66.57,-0.05,0.24,0.63,40.71,1.00,-1.00,-1.00,0.03,0.00,0.04,-0.03,0.32,0.47,8.11,11.50,64.98,1.30,3.07,-1.00,-1.00,0.22,123.01,123.62,0.40,68.42,1522,,,,,
668,The Apes of Wrath,5.96,-0.01,1.40,1.40,0.14,0.00,8.17,0.14,-1.00,-1.00,2.72,15.53,-0.79,7.17,2.36,0.36,0.48,0.24,0.00,37.91,1.83,-1.00,-1.00,83.30,0.31,0.19,0.36,43.03,0.62,-1.00,-1.00,0.06,0.00,0.17,0.04,0.48,-0.14,12.75,-3.37,46.07,1.08,1.96,-1.00,-1.00,3.77,95.45,96.74,0.18,1.89,1421,,,,,
766,M-A Bears,2.03,0.01,1.38,1.38,0.23,0.00,13.66,0.23,-1.00,-1.00,4.55,17.07,-1.95,3.11,0.85,0.35,0.32,0.16,0.00,24.05,1.07,-1.00,-1.00,32.88,0.14,-0.13,0.15,7.97,0.27,-1.00,-1.00,0.07,0.00,-0.13,0.30,0.03,0.08,0.13,3.54,37.71,0.83,1.29,-1.00,-1.00,2.24,53.49,54.89,-0.12,-60.00,1376,,,,,
812,The Midnight Mechanics,4.22,-0.00,1.13,1.13,0.12,0.00,7.18,0.12,-1.00,-1.00,2.39,12.53,0.19,3.58,1.23,0.35,0.41,0.46,0.00,44.22,2.57,-1.00,-1.00,92.66,0.46,0.16,0.33,47.21,0.93,-1.00,-1.00,0.04,0.00,-0.16,0.01,0.04,0.18,0.23,4.61,51.40,1.23,2.69,-1.00,-1.00,2.36,109.81,110.68,0.53,44.28,1502,,,,,
841,The BioMechs,2.55,-0.01,-1.54,-1.54,-0.04,0.00,-2.31,-0.04,-1.00,-1.00,-0.77,-1.30,-1.06,6.50,2.06,0.37,0.36,-0.13,0.00,25.67,0.30,-1.00,-1.00,30.23,-0.05,0.16,-0.06,2.50,0.00,-1.00,-1.00,0.00,0.00,-0.02,0.01,0.33,-0.03,8.10,-0.74,23.36,0.60,0.26,-1.00,-1.00,0.52,28.19,28.21,-0.04,-42.36,1345,,,,,
971,Spartan Robotics,3.91,0.01,18.69,18.69,-0.06,0.00,-3.86,-0.06,-1.00,-1.00,-1.29,18.73,2.13,38.38,12.77,0.33,0.38,0.15,0.00,37.33,1.44,-1.00,-1.00,89.62,0.46,0.27,0.06,39.52,0.75,-1.00,-1.00,0.40,0.00,0.33,0.01,-0.10,0.55,-0.91,13.85,33.47,0.87,1.38,-1.00,-1.00,31.45,122.21,130.23,0.39,55.81,1735,,,,,
1280,Ragin' C- Biscuits of San Ramon Valley High,4.11,0.01,-0.77,-0.77,-0.10,0.00,-6.02,-0.10,-1.00,-1.00,-2.01,-2.67,9.47,-0.80,0.59,0.32,0.01,0.09,0.00,20.99,0.47,-1.00,-1.00,24.06,-0.22,0.04,0.23,2.47,0.20,-1.00,-1.00,-0.02,0.00,0.37,-0.16,-0.12,0.12,-1.22,2.23,14.98,0.42,0.37,-1.00,-1.00,-0.17,23.62,23.13,0.21,-23.24,1409,,,,,
1458,Red Tie Robotics,5.14,-0.01,-0.21,-0.21,-0.09,0.00,-5.24,-0.09,-1.00,-1.00,-1.75,-0.32,-0.47,3.24,0.83,0.34,0.25,-0.28,0.00,15.92,-0.52,-1.00,-1.00,61.99,0.45,0.39,0.06,45.24,0.60,-1.00,-1.00,-0.05,0.00,-0.05,0.07,-0.21,-0.14,-5.61,-3.25,10.68,0.31,-0.61,-1.00,-1.00,0.62,58.43,57.37,0.28,7.32,1496,,,,,
