SevenRivers,wila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
48,Delphi E.L.I.T.E.,3,3.55,-0.57,1.31,1.15,0.46,0.01,28.26,0.47,-1.00,-1.00,9.42,32.96,-0.66,-0.30,-0.12,0.34,0.30,0.46,0.01,25.60,2.03,-1.00,-1.00,59.25,0.18,0.32,0.18,33.78,0.78,-1.00,-1.00,0.00,0.01,-0.02,0.03,-0.26,0.11,-6.68,2.82,53.86,1.11,2.50,-1.00,-1.00,1.02,95.03,95.61,0.26,-9.30,1560,,,,,
167,Children of the Corn,3,3.20,-0.01,1.70,1.70,0.02,0.00,1.04,0.02,-1.00,-1.00,0.35,5.94,0.39,-0.37,-0.05,0.33,0.35,0.36,0.05,42.97,2.38,-1.00,-1.00,54.97,0.19,0.14,-0.09,12.05,0.18,-1.00,-1.00,0.00,0.05,-0.01,0.18,-0.19,0.51,-4.78,13.70,44.01,1.09,2.40,-1.00,-1.00,1.65,74.60,79.54,0.16,-4.74,1461,,,,,
171,Cheese Curd Herd,3,2.41,0.38,-0.66,-0.55,0.23,0.00,13.61,0.23,-1.00,-1.00,4.54,15.47,-1.32,-2.40,-0.97,0.33,0.38,0.21,0.00,28.17,1.39,-1.00,-1.00,57.88,0.13,0.22,0.27,30.68,0.45,-1.00,-1.00,-0.05,0.00,-0.24,0.02,0.48,-0.08,10.91,-1.97,41.78,0.93,1.62,-1.00,-1.00,-1.52,71.38,70.42,0.08,-24.07,1494,,,,,
269,CooneyTech,3,4.05,0.27,1.60,1.72,0.38,0.00,22.58,0.38,-1.00,-1.00,7.53,28.35,-1.56,5.70,1.54,0.33,0.27,0.30,-0.00,20.87,1.33,-1.00,-1.00,57.81,0.20,0.19,0.32,35.40,0.58,-1.00,-1.00,0.00,-0.00,0.07,0.20,0.17,0.37,4.65,10.25,43.44,0.90,1.71,-1.00,-1.00,3.26,96.41,95.94,0.44,31.77,1492,,,,,
930,Mukwonago BEARs,3,3.67,-0.98,0.83,0.54,0.37,0.00,22.45,0.37,-1.00,-1.00,7.48,26.66,2.48,34.41,11.44,0.33,0.36,-0.09,-0.01,8.98,-0.06,-1.00,-1.00,47.13,0.08,0.21,0.24,26.71,0.79,-1.00,-1.00,0.00,-0.01,-0.11,-0.03,-0.19,-0.17,-5.23,-4.29,31.44,0.60,0.32,-1.00,-1.00,11.98,69.50,68.63,0.12,8.59,1510,,,,,
967,Iron Lions,3,4.91,0.02,-0.08,-0.08,0.52,0.00,31.32,0.52,-1.00,-1.00,10.44,36.15,-0.13,0.48,0.16,0.33,0.37,0.45,0.11,29.55,2.68,-1.00,-1.00,45.44,0.07,0.29,-0.04,15.73,0.64,-1.00,-1.00,0.00,0.11,-0.11,0.03,0.42,0.34,10.00,8.64,60.87,1.26,3.20,-1.00,-1.00,0.08,90.23,101.35,0.25,3.21,1464,,,,,
1091,Oriole Assault,3,5.13,0.43,-0.08,0.04,0.24,0.00,14.28,0.24,-1.00,-1.00,4.76,19.46,-0.23,0.18,-0.03,0.33,0.35,0.45,-0.11,31.36,1.61,-1.00,-1.00,79.29,0.34,0.40,0.22,47.96,1.00,-1.00,-1.00,0.00,-0.11,0.06,-0.14,0.07,0.52,2.03,12.36,45.65,1.02,1.84,-1.00,-1.00,0.01,111.11,100.06,0.21,38.42,1539,,,,,
1306,BadgerBOTS,3,3.52,0.56,-0.46,-0.29,0.19,0.00,11.14,0.19,-1.00,-1.00,3.71,14.37,-0.47,-0.42,-0.29,0.33,0.35,0.12,0.07,27.35,1.39,-1.00,-1.00,67.62,0.28,0.15,0.38,40.57,0.80,-1.00,-1.00,0.00,0.07,-0.13,-0.05,-0.11,-0.19,-3.31,-4.86,38.49,0.87,1.58,-1.00,-1.00,-0.59,77.13,83.98,0.26,1.18,1457,,,,,
1625,Winnovation,3,3.85,-1.89,-1.32,-1.88,0.28,0.00,16.76,0.28,-1.00,-1.00,5.59,18.73,0.73,7.89,2.66,0.33,0.33,0.49,-0.00,34.90,2.32,-1.00,-1.00,75.15,0.03,0.31,0.42,37.60,0.71,-1.00,-1.00,-0.00,-0.00,-0.07,0.07,-0.10,-0.11,-2.88,-2.38,51.65,1.15,2.60,-1.00,-1.00,0.77,91.51,91.24,0.45,39.54,1558,,,,,
