Shenzhen,gush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1797,Phoenix,5.31,-0.00,-0.25,-0.25,-0.11,0.00,-6.42,-0.11,-1.00,-1.00,-2.14,-1.36,0.01,-0.59,-0.20,0.33,0.24,0.14,0.00,33.07,1.15,-1.00,-1.00,51.21,0.25,0.15,-0.04,18.34,0.56,-1.00,-1.00,-0.00,0.00,-0.09,0.59,-0.05,0.20,-1.81,7.91,26.65,0.72,1.04,-1.00,-1.00,-0.45,57.76,57.75,0.22,20.79,1433,,,,,
1884,Griffins,5.61,0.01,-0.16,-0.16,0.26,0.00,15.74,0.26,-1.00,-1.00,5.25,21.19,0.01,0.13,0.06,0.33,0.40,0.54,0.00,40.33,2.68,-1.00,-1.00,68.69,0.34,0.15,0.07,28.31,0.61,-1.00,-1.00,0.01,0.00,0.48,0.11,0.06,-0.19,3.96,-4.17,56.06,1.27,2.94,-1.00,-1.00,-0.10,85.71,85.97,0.30,31.10,1484,,,,,
4613,Barker Redbacks,6.21,0.30,13.93,13.93,-0.09,0.00,-5.26,-0.09,-1.00,-1.00,-1.75,14.88,0.21,38.87,12.83,0.33,0.48,0.11,0.00,40.33,1.46,-1.00,-1.00,86.33,0.12,0.15,0.39,33.16,0.67,-1.00,-1.00,0.20,0.00,-0.30,0.21,0.64,0.33,14.58,9.30,35.07,0.92,1.37,-1.00,-1.00,26.77,110.51,114.56,0.32,34.96,1513,,,,,
5308,Wuhan Yangtze ,2.79,-0.00,-0.14,-0.14,-0.03,0.00,-1.59,-0.03,-1.00,-1.00,-0.53,1.07,-0.01,3.22,0.80,0.33,0.16,0.08,0.00,23.78,0.66,-1.00,-1.00,14.76,-0.04,0.04,-0.20,-9.82,0.00,-1.00,-1.00,-0.02,0.00,-0.03,-0.13,0.02,0.54,0.48,12.91,22.19,0.57,0.63,-1.00,-1.00,0.66,28.73,28.32,0.31,-16.91,1390,,,,,
5445,Rushing Peacock,4.29,0.00,-0.06,-0.06,0.22,0.00,12.96,0.22,-1.00,-1.00,4.32,17.19,-0.01,-1.11,-0.31,0.33,0.32,0.01,0.00,17.83,0.45,-1.00,-1.00,4.14,-0.07,0.01,-0.20,-13.38,0.00,-1.00,-1.00,0.00,0.00,-0.30,0.17,0.30,0.17,5.93,5.07,30.79,0.66,0.66,-1.00,-1.00,-0.37,26.40,26.42,-0.01,-14.36,1371,,,,,
5449,Prototype,3.98,0.06,-0.30,-0.30,0.15,0.00,9.07,0.15,-1.00,-1.00,3.02,12.74,-0.03,-3.43,-1.28,0.33,0.10,-0.05,0.00,9.40,-0.05,-1.00,-1.00,19.39,0.13,0.22,-0.13,11.28,0.38,-1.00,-1.00,-0.02,0.00,0.51,-0.07,0.16,0.31,6.54,7.48,18.47,0.39,0.10,-1.00,-1.00,-1.58,39.62,39.19,0.21,6.96,1438,,,,,
5451,supernova,3.55,-0.04,0.31,0.31,0.23,0.00,13.67,0.23,-1.00,-1.00,4.56,17.53,0.10,9.31,2.96,0.33,0.25,0.02,0.00,14.99,0.32,-1.00,-1.00,52.26,0.27,0.12,0.30,34.31,0.31,-1.00,-1.00,0.09,0.00,-0.20,-0.00,0.04,0.23,-0.06,5.66,28.66,0.60,0.55,-1.00,-1.00,3.27,75.45,77.32,0.22,15.40,1380,,,,,
5453,RED COMET,4.51,0.01,0.08,0.08,0.14,0.00,8.28,0.14,-1.00,-1.00,2.76,12.87,0.01,-0.38,-0.06,0.33,0.40,0.24,0.00,33.77,1.66,-1.00,-1.00,57.23,0.05,0.26,0.17,23.52,0.67,-1.00,-1.00,-0.00,0.00,0.16,0.11,-0.03,-0.09,0.13,-1.63,42.05,0.98,1.80,-1.00,-1.00,0.02,68.47,68.40,0.24,25.84,1409,,,,,
5515,Blue Power Robotics,4.84,-0.05,-1.13,-1.13,0.33,0.00,19.96,0.33,-1.00,-1.00,6.65,23.67,-0.01,-3.30,-1.10,0.33,0.42,0.23,0.00,26.32,1.44,-1.00,-1.00,56.21,0.15,0.38,0.08,30.99,0.94,-1.00,-1.00,-0.01,0.00,-0.12,0.18,0.59,0.55,14.16,14.76,46.28,0.99,1.77,-1.00,-1.00,-2.23,94.63,94.52,0.54,52.92,1466,,,,,
