SiliconValley,casj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
8,Paly Robotics,5.31,-1.00,0.22,-0.08,0.14,0.00,8.48,0.14,-1.00,-1.00,2.83,13.71,0.37,1.64,0.51,0.35,0.36,0.55,0.23,53.66,4.16,-1.00,-1.00,87.59,-0.06,0.09,0.64,33.42,0.88,-1.00,-1.00,0.03,0.23,0.29,-0.05,-0.34,0.12,-7.09,2.69,62.14,1.48,4.30,-1.00,-1.00,0.44,104.00,127.18,-0.01,8.68,1453,,,,,
100,The WildHats,3.31,0.49,-1.02,-0.87,0.18,0.00,10.74,0.18,-1.00,-1.00,3.58,13.18,-0.96,1.77,0.54,0.32,0.33,0.33,0.18,39.27,2.89,-1.00,-1.00,85.86,0.44,0.27,0.21,46.05,0.92,-1.00,-1.00,0.00,0.18,0.27,0.11,0.57,0.10,15.71,3.13,50.00,1.16,3.07,-1.00,-1.00,-0.32,102.17,120.57,0.32,-5.46,1434,,,,,
114,Eagle Strike,4.76,-0.53,-2.16,-2.33,0.43,0.00,25.90,0.43,-1.00,-1.00,8.63,28.33,-1.18,9.02,2.93,0.31,0.30,0.50,0.04,28.72,2.36,-1.00,-1.00,67.72,0.49,0.21,0.02,36.07,0.50,-1.00,-1.00,0.02,0.04,0.09,-0.21,0.32,0.12,8.38,1.94,54.62,1.15,2.79,-1.00,-1.00,0.60,97.99,101.94,0.44,33.72,1490,,,,,
115,MVRT,4.78,0.23,-0.47,-0.40,0.32,0.00,19.15,0.32,-1.00,-1.00,6.38,23.52,0.77,-0.56,-0.08,0.35,0.37,0.36,0.17,37.03,2.88,-1.00,-1.00,65.57,0.40,0.22,-0.05,28.62,0.86,-1.00,-1.00,0.00,0.17,-0.04,0.21,-0.03,0.77,-1.04,20.33,56.18,1.24,3.20,-1.00,-1.00,-0.48,109.41,126.10,0.13,1.68,1484,,,,,
192,GRT,4.27,-0.32,2.14,2.06,0.32,0.00,19.45,0.32,-1.00,-1.00,6.48,25.78,-0.87,-0.14,-0.13,0.31,0.31,0.22,0.07,23.47,1.58,-1.00,-1.00,75.37,0.14,0.50,0.40,52.04,0.79,-1.00,-1.00,0.02,0.07,-0.11,-0.01,1.27,0.32,31.14,7.92,42.91,0.91,1.90,-1.00,-1.00,1.93,109.08,116.39,0.21,-14.88,1506,,,,,
199,Deep Blue,4.81,-0.76,0.42,0.18,0.22,0.00,13.47,0.22,-1.00,-1.00,4.49,18.47,-0.22,0.41,0.13,0.34,0.35,-0.07,-0.01,15.67,0.17,-1.00,-1.00,51.46,0.32,0.32,0.07,35.65,0.78,-1.00,-1.00,0.02,-0.01,-0.05,0.31,0.40,0.18,9.68,6.02,29.15,0.62,0.40,-1.00,-1.00,0.32,75.95,75.77,-0.17,-69.75,1361,,,,,
253,Mills Robotics Team,5.02,0.26,-0.28,-0.18,0.17,0.00,10.22,0.17,-1.00,-1.00,3.41,15.06,0.61,-0.94,-0.27,0.35,0.35,0.21,0.02,30.51,1.53,-1.00,-1.00,39.84,0.22,0.06,-0.08,9.59,0.44,-1.00,-1.00,-0.02,0.02,0.08,0.12,0.32,0.24,8.34,6.64,40.73,0.93,1.70,-1.00,-1.00,-0.45,61.53,63.54,-0.03,-28.43,1397,,,,,
254,The Cheesy Poofs,3.65,-0.70,30.03,29.83,0.54,0.00,32.61,0.54,-1.00,-1.00,10.87,66.09,-1.31,51.42,16.79,0.35,0.34,0.23,0.24,24.27,2.48,-1.00,-1.00,108.38,0.64,0.22,0.49,67.32,1.00,-1.00,-1.00,0.98,0.24,-0.06,-0.03,0.40,0.29,9.80,7.06,56.88,1.15,3.02,-1.00,-1.00,46.62,181.53,224.66,0.56,137.28,1883,,,,,
256,Robo-Rams,4.63,0.52,-0.44,-0.25,0.17,0.00,10.19,0.17,-1.00,-1.00,3.40,14.57,1.47,-0.36,-0.04,0.33,0.36,0.03,-0.01,21.72,0.60,-1.00,-1.00,57.51,0.37,0.35,-0.01,35.83,0.33,-1.00,-1.00,-0.02,-0.01,0.08,0.21,0.11,-0.24,3.28,-4.83,31.90,0.71,0.77,-1.00,-1.00,-0.29,67.25,65.32,0.23,-5.93,1372,,,,,
299,Valkyrie Robotics,5.82,-0.09,0.44,0.44,0.38,0.00,22.51,0.38,-1.00,-1.00,7.50,28.76,-0.45,-1.47,-0.51,0.32,0.30,0.37,0.01,25.24,1.78,-1.00,-1.00,43.13,-0.16,0.18,0.35,18.40,0.56,-1.00,-1.00,0.01,0.01,0.35,0.27,-0.05,0.03,0.47,2.01,47.74,1.01,2.16,-1.00,-1.00,-0.08,73.90,75.22,0.15,-40.89,1342,,,,,
581,Blazing Bulldogs,4.74,-0.52,0.00,-0.15,0.20,0.00,12.21,0.20,-1.00,-1.00,4.07,16.80,0.66,0.41,0.23,0.33,0.34,0.22,0.22,36.25,2.66,-1.00,-1.00,79.72,0.30,0.10,0.47,43.24,0.67,-1.00,-1.00,-0.02,0.22,0.01,-0.08,0.30,0.08,7.43,1.64,48.46,1.11,2.86,-1.00,-1.00,0.09,98.16,119.53,0.04,35.06,1504,,,,,
604,Quixilver,6.10,0.01,1.79,1.79,0.22,0.00,13.19,0.22,-1.00,-1.00,4.40,21.07,2.30,-5.39,-1.58,0.33,0.33,0.50,0.39,53.08,4.77,-1.00,-1.00,86.99,0.34,0.29,0.09,35.48,0.87,-1.00,-1.00,0.02,0.39,-0.03,0.02,-0.28,0.40,-7.18,10.01,66.27,1.55,4.99,-1.00,-1.00,0.21,118.08,157.24,0.48,73.97,1677,,,,,
668,The Apes of Wrath,4.57,0.68,0.05,0.20,0.26,0.00,15.69,0.26,-1.00,-1.00,5.23,20.46,1.30,-0.39,0.10,0.35,0.37,0.10,-0.09,18.60,0.34,-1.00,-1.00,63.78,0.39,0.37,0.15,45.08,0.56,-1.00,-1.00,-0.01,-0.09,0.02,0.50,-0.05,0.70,-1.01,20.04,34.29,0.73,0.60,-1.00,-1.00,0.31,104.27,94.88,0.26,58.07,1496,,,,,
670,Homestead Robotics,4.47,5.64,0.04,1.69,0.15,0.00,8.92,0.15,-1.00,-1.00,2.97,15.08,6.31,-1.71,0.04,0.35,0.34,0.44,-0.11,34.96,1.67,-1.00,-1.00,41.52,0.03,-0.11,0.22,6.52,0.56,-1.00,-1.00,0.03,-0.11,0.22,0.21,-0.14,0.06,-2.51,2.43,43.88,1.02,1.82,-1.00,-1.00,1.73,59.04,48.80,0.16,-5.91,1461,,,,,
751,barn2robotics,5.28,-0.36,-0.35,-0.46,0.33,0.00,19.87,0.33,-1.00,-1.00,6.62,24.69,-0.05,-1.08,-0.45,0.35,0.35,0.57,0.28,48.48,4.34,-1.00,-1.00,82.12,0.11,0.34,0.23,34.10,0.67,-1.00,-1.00,0.01,0.28,0.34,-0.03,0.15,-0.17,5.38,-4.32,68.34,1.54,4.67,-1.00,-1.00,-0.91,102.49,130.89,0.09,-9.78,1479,,,,,
766,M-A Bears,4.87,-0.15,-0.21,-0.26,0.34,0.00,20.25,0.34,-1.00,-1.00,6.75,24.86,0.69,-0.69,-0.13,0.34,0.33,0.58,-0.07,33.86,2.25,-1.00,-1.00,67.06,0.21,0.42,0.04,33.34,0.67,-1.00,-1.00,0.01,-0.07,-0.12,-0.05,-0.16,-0.14,-4.66,-3.65,54.10,1.18,2.58,-1.00,-1.00,-0.40,88.27,81.41,0.21,-5.39,1398,,,,,
841,The BioMechs,6.04,-0.30,-1.29,-1.38,-0.08,0.00,-4.86,-0.08,-1.00,-1.00,-1.62,-0.20,2.92,0.78,0.57,0.31,0.34,0.15,0.21,44.01,2.64,-1.00,-1.00,77.12,0.09,0.40,0.16,32.54,0.64,-1.00,-1.00,0.01,0.21,-0.15,0.05,-0.28,0.08,-7.85,2.36,39.15,1.02,2.56,-1.00,-1.00,-0.80,79.28,101.00,0.40,-2.46,1399,,,,,
