SmokyMountains,tnkn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
48,Delphi E.L.I.T.E.,3.55,-0.57,1.31,1.15,0.46,0.01,28.26,0.47,-1.00,-1.00,9.42,32.96,-0.66,-0.30,-0.12,0.34,0.30,0.46,0.01,25.60,2.03,-1.00,-1.00,59.25,0.18,0.32,0.18,33.78,0.78,-1.00,-1.00,0.00,0.01,-0.02,0.03,-0.26,0.11,-6.68,2.82,53.86,1.11,2.50,-1.00,-1.00,1.02,95.03,95.61,0.26,-9.30,1560,,,,,
63,McDowell Robotics Team 63,5.20,0.63,-0.22,-0.03,-0.07,-0.01,-5.02,-0.08,-1.00,-1.00,-1.67,0.15,1.17,-0.56,0.01,0.35,0.37,0.32,0.01,45.06,2.15,-1.00,-1.00,93.03,0.27,0.29,0.40,47.96,0.80,-1.00,-1.00,0.00,0.01,-0.08,0.25,0.22,0.03,4.98,1.90,40.03,1.04,2.07,-1.00,-1.00,-0.02,95.07,95.62,0.20,36.59,1569,,,,,
108,SigmaC@T Robotic Team,5.00,0.07,-0.11,-0.09,0.26,-0.00,15.56,0.26,-1.00,-1.00,5.19,20.46,-0.14,0.86,0.22,0.34,0.23,0.18,-0.03,18.58,0.74,-1.00,-1.00,55.19,0.33,0.18,0.22,36.39,0.76,-1.00,-1.00,0.00,-0.03,0.03,-0.11,-0.09,0.57,-1.98,13.66,34.14,0.72,0.99,-1.00,-1.00,0.13,89.31,86.02,0.18,34.41,1538,,,,,
279,Tech Fusion,5.38,0.08,-0.20,-0.18,0.53,-0.03,29.95,0.50,-1.00,-1.00,9.98,35.16,-0.71,-0.27,-0.14,0.33,0.25,0.30,0.01,15.83,1.25,-1.00,-1.00,51.81,0.43,0.28,0.01,36.12,0.70,-1.00,-1.00,0.00,0.01,-0.11,0.08,0.12,-0.10,2.40,-2.00,45.78,0.89,1.75,-1.00,-1.00,-0.31,84.97,85.83,0.24,-3.06,1427,,,,,
337,Hard Working Hard Hats,5.49,-0.45,-0.09,-0.23,0.06,-0.01,2.47,0.04,-1.00,-1.00,0.82,7.73,-1.13,-0.76,-0.27,0.34,0.42,0.38,-0.01,43.41,2.26,-1.00,-1.00,85.87,0.60,0.16,0.09,42.72,0.92,-1.00,-1.00,0.00,-0.01,0.06,0.06,0.60,0.26,15.28,6.91,45.88,1.13,2.30,-1.00,-1.00,-0.50,100.51,99.54,0.11,-5.23,1409,,,,,
342,Burning Magnetos,5.39,0.29,0.71,0.77,0.13,-0.01,7.46,0.12,-1.00,-1.00,2.49,13.62,0.66,0.57,0.30,0.34,0.42,0.34,-0.01,38.42,1.99,-1.00,-1.00,91.76,0.31,0.28,0.47,53.04,0.83,-1.00,-1.00,0.00,-0.01,-0.10,0.42,0.21,-0.02,4.68,1.51,45.88,1.08,2.12,-1.00,-1.00,1.07,106.88,105.49,0.17,27.62,1448,,,,,
744,Shark Attack,4.56,-0.02,-0.04,-0.05,0.61,-0.00,36.57,0.61,-1.00,-1.00,12.19,41.08,-0.41,5.48,1.67,0.35,0.30,0.52,-0.00,22.52,2.09,-1.00,-1.00,57.91,0.12,0.12,0.43,33.72,0.72,-1.00,-1.00,0.00,-0.00,0.10,0.07,-0.03,0.09,-0.34,2.50,59.09,1.17,2.70,-1.00,-1.00,1.62,101.50,101.29,0.25,25.29,1578,,,,,
801,Horsepower,5.18,0.45,0.00,0.13,-0.07,-0.02,-5.61,-0.09,-1.00,-1.00,-1.87,-0.30,0.70,0.06,-0.05,0.33,0.39,0.02,-0.02,32.78,0.87,-1.00,-1.00,87.98,0.52,0.49,0.10,55.25,0.93,-1.00,-1.00,0.00,-0.02,0.24,-0.17,0.16,0.10,5.13,1.61,27.17,0.73,0.77,-1.00,-1.00,0.08,89.30,87.70,0.28,1.97,1469,,,,,
1287,Aluminum Assault,5.14,0.01,-0.11,-0.10,0.27,0.00,15.98,0.27,-1.00,-1.00,5.33,21.01,-0.40,0.97,0.27,0.33,0.36,0.22,-0.03,24.31,1.14,-1.00,-1.00,71.62,0.41,0.27,0.26,47.04,1.00,-1.00,-1.00,0.00,-0.03,0.13,0.33,0.03,0.16,1.44,5.57,40.29,0.87,1.41,-1.00,-1.00,0.17,98.21,95.38,0.61,24.38,1542,,,,,
1466,Webb Robotics,5.64,0.60,0.37,0.54,0.21,-0.03,10.98,0.18,-1.00,-1.00,3.66,17.16,1.56,-0.81,-0.23,0.33,0.36,0.25,0.00,29.86,1.51,-1.00,-1.00,77.89,0.27,0.31,0.38,48.27,0.85,-1.00,-1.00,0.00,0.00,0.15,0.17,0.06,0.16,2.24,4.84,40.84,0.93,1.70,-1.00,-1.00,0.31,99.90,100.01,0.29,40.30,1524,,,,,
1876,Beachbotics,4.15,-0.52,0.09,-0.07,0.39,0.10,29.34,0.49,-1.00,-1.00,9.78,33.43,-0.24,0.68,0.21,0.33,0.30,0.34,0.00,19.14,1.47,-1.00,-1.00,58.38,0.00,0.27,0.51,39.03,0.85,-1.00,-1.00,0.00,0.00,-0.08,0.10,-0.01,0.61,-0.67,15.73,48.48,0.97,1.96,-1.00,-1.00,0.15,107.54,107.86,0.27,60.81,1604,,,,,
2393,Robotichauns,4.90,0.13,-0.03,0.02,0.48,0.01,29.46,0.49,-1.00,-1.00,9.82,34.38,0.38,1.04,0.31,0.34,0.30,0.53,0.11,31.16,2.86,-1.00,-1.00,67.08,0.32,0.08,0.31,35.62,0.73,-1.00,-1.00,0.00,0.11,-0.09,0.11,0.13,0.00,2.88,0.66,60.61,1.27,3.35,-1.00,-1.00,0.33,102.12,112.83,0.21,49.07,1544,,,,,
2641,PCCR,5.30,3.96,0.05,1.27,0.65,-0.01,38.10,0.63,-1.00,-1.00,12.70,44.67,-0.38,-0.33,-0.01,0.35,0.41,0.47,-0.00,23.35,2.04,-1.00,-1.00,75.96,0.35,0.30,0.40,52.62,0.87,-1.00,-1.00,0.00,-0.00,-0.15,0.02,-0.20,-0.03,-5.73,-0.73,61.45,1.22,2.67,-1.00,-1.00,1.26,119.89,119.58,0.27,57.02,1535,,,,,
3000,Jeffersontown Robochargers,4.20,-0.15,0.40,0.35,0.38,-0.02,21.69,0.36,-1.00,-1.00,7.23,26.24,-1.82,-0.23,-0.17,0.33,0.38,0.56,0.01,36.59,2.66,-1.00,-1.00,73.51,0.30,0.27,0.18,37.10,0.83,-1.00,-1.00,0.00,0.01,0.22,0.21,0.28,0.17,8.16,5.35,58.28,1.28,3.02,-1.00,-1.00,0.18,105.10,105.76,0.24,18.01,1455,,,,,
3140,Flagship,3.38,0.21,-0.00,0.06,0.34,-0.00,20.15,0.34,-1.00,-1.00,6.72,23.58,-0.12,0.11,0.00,0.33,0.33,0.17,-0.03,18.10,0.77,-1.00,-1.00,68.27,0.33,0.32,0.36,50.16,0.94,-1.00,-1.00,0.00,-0.03,0.09,-0.14,0.30,0.64,7.88,15.31,38.25,0.79,1.11,-1.00,-1.00,0.06,107.16,103.67,0.12,1.59,1474,,,,,
3259,Thoroughbots,4.01,-0.09,0.00,-0.02,-0.06,-0.01,-4.22,-0.07,-1.00,-1.00,-1.41,-0.23,-0.26,-1.13,-0.37,0.35,0.33,-0.11,0.10,29.58,0.91,-1.00,-1.00,48.75,0.43,0.04,-0.07,19.54,0.50,-1.00,-1.00,0.00,0.10,-0.14,-0.08,-0.16,-0.43,-4.64,-11.06,25.35,0.67,0.84,-1.00,-1.00,-0.39,37.46,47.67,-0.06,-30.81,1417,,,,,
3489,Category 5,3.91,-0.09,-0.11,-0.13,0.45,0.10,33.05,0.55,-1.00,-1.00,11.02,36.82,0.11,-1.15,-0.35,0.34,0.39,0.54,-0.00,28.67,2.37,-1.00,-1.00,70.66,0.44,0.10,0.31,42.34,0.76,-1.00,-1.00,0.00,-0.00,-0.04,-0.13,-0.16,0.35,-4.30,8.02,61.72,1.27,2.92,-1.00,-1.00,-0.48,115.51,115.02,0.16,9.96,1555,,,,,
3821,Pirabots,5.69,-0.07,0.35,0.33,0.13,-0.00,7.89,0.13,-1.00,-1.00,2.63,13.91,-0.42,2.38,0.69,0.35,0.25,0.12,0.02,24.27,0.99,-1.00,-1.00,34.93,-0.05,0.30,-0.05,9.96,0.30,-1.00,-1.00,0.00,0.02,0.08,0.16,-0.14,-0.21,-3.19,-4.53,32.16,0.74,1.12,-1.00,-1.00,1.02,44.31,46.34,-0.08,-44.81,1358,,,,,
3824,HVA RoHAWKtics,4.92,0.78,0.69,0.92,0.47,0.10,33.93,0.57,-1.00,-1.00,11.31,39.77,0.34,1.34,0.39,0.32,0.35,0.46,-0.01,22.27,1.90,-1.00,-1.00,72.80,0.16,0.52,0.33,50.14,0.93,-1.00,-1.00,0.00,-0.01,0.05,0.18,0.08,0.22,2.15,6.35,56.20,1.12,2.47,-1.00,-1.00,1.31,118.92,117.97,0.47,45.47,1636,,,,,
3843,M.C.R.T. ROBO RACERS,4.56,-0.09,-0.17,-0.20,0.35,0.01,21.55,0.36,-1.00,-1.00,7.18,25.91,1.65,-0.28,-0.13,0.34,0.39,0.19,-0.02,21.53,1.08,-1.00,-1.00,47.68,0.29,0.06,0.17,26.28,0.40,-1.00,-1.00,0.00,-0.02,-0.17,0.02,-0.00,-0.04,-0.93,-0.90,43.07,0.90,1.44,-1.00,-1.00,-0.33,72.70,71.05,0.21,15.04,1443,,,,,
3844,Kentucky Wildbots,5.03,0.04,-0.35,-0.34,-0.00,-0.01,-0.97,-0.02,-1.00,-1.00,-0.32,3.73,0.40,1.25,0.46,0.34,0.28,0.07,-0.00,28.32,0.87,-1.00,-1.00,33.83,0.28,-0.08,-0.10,5.05,0.40,-1.00,-1.00,0.00,-0.00,-0.20,-0.13,0.22,0.06,4.44,0.96,27.35,0.69,0.86,-1.00,-1.00,0.13,38.52,38.41,-0.13,-61.01,1395,,,,,
3966,L&N STEMpunks,4.68,-0.45,-0.05,-0.19,-0.03,-0.00,-1.81,-0.03,-1.00,-1.00,-0.60,2.68,0.82,-0.63,-0.20,0.36,0.27,0.28,0.01,37.78,1.76,-1.00,-1.00,85.82,0.39,0.14,0.44,48.24,0.70,-1.00,-1.00,0.00,0.01,0.39,-0.04,-0.06,-0.07,0.35,-1.97,35.97,0.91,1.73,-1.00,-1.00,-0.39,86.53,87.26,-0.04,2.86,1489,,,,,
3984,The Toppers,5.05,0.82,-0.16,0.05,0.27,0.00,16.24,0.27,-1.00,-1.00,5.41,21.34,0.22,3.67,1.11,0.33,0.05,0.13,-0.00,9.50,0.32,-1.00,-1.00,32.68,0.07,0.19,0.18,22.08,0.30,-1.00,-1.00,0.00,-0.00,0.03,0.16,0.40,0.06,10.19,2.37,25.73,0.51,0.59,-1.00,-1.00,1.15,56.39,56.02,0.17,7.81,1461,,,,,
4020,Cyber Tribe,4.54,0.03,0.25,0.27,0.74,-0.00,44.06,0.73,-1.00,-1.00,14.69,48.87,-0.41,5.14,1.61,0.35,0.37,0.47,-0.00,18.24,1.90,-1.00,-1.00,59.92,0.54,-0.15,0.41,40.07,0.75,-1.00,-1.00,0.00,-0.00,0.20,0.57,-0.19,0.24,-3.75,8.88,62.30,1.19,2.63,-1.00,-1.00,1.88,117.67,117.19,0.49,23.08,1571,,,,,
4098,Viking Robotics Team,5.18,0.09,0.06,0.08,0.07,-0.00,3.95,0.07,-1.00,-1.00,1.32,9.21,3.27,-0.18,0.08,0.35,0.23,-0.30,0.02,9.48,-0.65,-1.00,-1.00,38.83,0.14,0.06,0.38,29.27,0.60,-1.00,-1.00,0.00,0.02,0.16,0.29,-0.02,-0.13,0.28,-1.71,13.43,0.30,-0.59,-1.00,-1.00,0.17,46.34,48.30,-0.06,-39.59,1383,,,,,
