SouthFlorida,flwp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
21,ComBBAT,4.61,0.00,-0.12,-0.12,0.14,0.00,8.23,0.14,-1.00,-1.00,2.74,12.72,-0.11,-3.71,-1.25,0.22,0.21,0.02,0.00,12.51,0.24,-1.00,-1.00,22.55,0.13,0.10,-0.01,11.29,0.40,-1.00,-1.00,0.00,0.00,-0.03,0.07,0.21,0.29,5.16,7.64,20.74,0.45,0.38,-1.00,-1.00,-1.37,42.90,42.90,-0.12,-27.72,1473,,,,,
59,RamTech,4.67,0.00,-0.16,-0.16,-0.20,0.00,-11.73,-0.20,-1.00,-1.00,-3.91,-7.23,-0.05,19.62,6.36,0.32,0.30,0.19,0.00,40.17,1.53,-1.00,-1.00,61.96,0.18,0.00,0.13,15.43,0.67,-1.00,-1.00,0.00,0.00,0.18,-0.05,0.62,-0.05,16.35,-1.45,28.44,0.81,1.34,-1.00,-1.00,6.19,53.29,53.29,0.18,-15.22,1414,,,,,
79,Team Krunch,5.03,0.00,-0.08,-0.08,0.04,0.00,2.40,0.04,-1.00,-1.00,0.80,7.35,0.28,16.65,5.42,0.35,0.21,0.27,0.00,31.60,1.48,-1.00,-1.00,51.05,0.20,0.01,0.08,14.02,0.40,-1.00,-1.00,0.00,0.00,0.06,0.12,-0.06,0.11,-1.21,3.44,34.00,0.83,1.52,-1.00,-1.00,5.34,61.84,61.84,0.09,7.06,1527,,,,,
125,NUTRONs,5.34,0.00,0.82,0.82,0.01,0.00,0.42,0.01,-1.00,-1.00,0.14,6.57,-0.04,33.93,10.97,0.33,0.19,-0.05,0.00,19.00,0.20,-1.00,-1.00,55.66,0.36,0.19,-0.04,25.69,0.56,-1.00,-1.00,0.00,0.00,0.05,0.11,0.02,0.04,0.69,1.58,19.42,0.48,0.20,-1.00,-1.00,11.79,63.81,63.81,0.19,-13.02,1537,,,,,
179,Children of the Swamp,3.58,0.00,-0.26,-0.26,0.32,0.00,19.09,0.32,-1.00,-1.00,6.36,22.41,-0.10,0.39,0.14,0.34,0.46,0.52,0.00,40.08,2.69,-1.00,-1.00,76.05,0.09,0.19,0.44,35.83,0.67,-1.00,-1.00,0.00,0.00,0.38,0.27,0.00,0.28,1.90,8.35,59.17,1.32,3.00,-1.00,-1.00,-0.12,106.81,106.81,0.43,54.78,1668,,,,,
233,The Pink Team,4.76,0.00,0.41,0.41,0.21,0.00,12.42,0.21,-1.00,-1.00,4.14,17.58,-0.06,56.76,18.74,0.35,0.19,0.02,0.00,14.06,0.27,-1.00,-1.00,76.93,0.17,0.43,0.28,44.13,0.75,-1.00,-1.00,0.00,0.00,0.11,0.04,-0.01,-0.03,0.29,-0.69,26.48,0.56,0.47,-1.00,-1.00,19.15,93.83,93.83,0.39,62.94,1572,,,,,
263,Sachem Aftershock,1.86,0.00,0.40,0.40,0.26,0.00,15.55,0.26,-1.00,-1.00,5.18,17.81,-0.33,-3.81,-1.27,0.35,0.53,0.31,0.00,37.01,2.04,-1.00,-1.00,53.00,-0.00,0.10,0.25,17.25,0.47,-1.00,-1.00,0.00,0.00,-0.11,0.49,0.69,0.14,16.68,5.85,52.56,1.18,2.30,-1.00,-1.00,-0.87,76.66,76.66,0.28,24.41,1539,,,,,
348,Norwell Robotics,4.42,0.00,-0.09,-0.09,0.55,0.00,33.23,0.55,-1.00,-1.00,11.08,37.57,-0.05,-2.90,-0.95,0.34,0.46,0.11,0.00,14.13,0.80,-1.00,-1.00,23.04,0.03,0.04,0.13,9.86,0.54,-1.00,-1.00,0.00,0.00,0.27,0.17,-0.08,0.02,-0.63,1.45,47.36,0.91,1.35,-1.00,-1.00,-1.04,62.06,62.06,0.31,18.73,1422,,,,,
386,Team Voltage,5.82,0.00,-0.03,-0.03,0.57,0.00,34.14,0.57,-1.00,-1.00,11.38,39.93,0.01,2.28,0.72,0.34,0.40,0.21,0.00,15.26,1.07,-1.00,-1.00,73.79,0.54,0.31,0.30,57.81,0.95,-1.00,-1.00,0.00,0.00,0.10,0.15,-0.27,0.20,-6.27,5.84,49.39,0.95,1.64,-1.00,-1.00,0.69,119.55,119.55,0.47,64.92,1603,,,,,
