SouthPacific,ausp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1772,The Brazilian Trail Blazers,5.69,0.00,0.53,0.53,0.52,0.00,31.19,0.52,-1.00,-1.00,10.40,37.41,0.36,1.65,0.59,0.33,0.41,0.46,0.09,30.93,2.68,-1.00,-1.00,59.32,0.16,0.30,0.09,27.81,0.74,-1.00,-1.00,0.01,0.09,-0.18,0.07,0.20,-0.07,4.13,-1.45,62.12,1.29,3.20,-1.00,-1.00,1.11,95.29,104.65,0.27,24.14,1556,,,,,
3132,Thunder Down Under,5.62,-0.01,8.48,8.48,0.76,0.00,45.70,0.76,-1.00,-1.00,15.23,59.80,0.02,35.60,11.60,0.33,0.37,0.06,0.00,0.46,0.25,-1.00,-1.00,38.02,0.11,0.16,0.25,25.96,0.78,-1.00,-1.00,0.01,0.00,0.07,0.03,0.31,0.08,8.14,2.03,46.15,0.77,1.01,-1.00,-1.00,20.07,99.84,100.46,0.35,35.35,1555,,,,,
4253,Raid Zero,4.59,-0.02,0.12,0.12,0.31,0.00,18.59,0.31,-1.00,-1.00,6.20,23.30,-0.08,-0.48,-0.22,0.33,0.40,0.33,0.09,33.97,2.36,-1.00,-1.00,82.63,0.12,0.68,0.18,48.88,0.74,-1.00,-1.00,0.02,0.09,-0.11,0.05,0.24,0.30,5.33,7.81,52.57,1.16,2.67,-1.00,-1.00,-0.10,113.74,123.16,0.58,48.91,1553,,,,,
4529,AI Robotics,4.86,0.00,0.25,0.25,-0.12,0.00,-7.26,-0.12,-1.00,-1.00,-2.42,-2.15,-0.26,3.21,1.01,0.33,0.19,-0.00,-0.01,25.27,0.44,-1.00,-1.00,14.82,-0.17,0.03,-0.08,-11.46,0.00,-1.00,-1.00,-0.00,-0.01,0.14,-0.04,-0.09,0.00,-1.57,-0.21,18.01,0.51,0.32,-1.00,-1.00,1.25,12.46,11.60,-0.07,-29.52,1319,,,,,
4613,Barker Redbacks,4.67,0.09,16.22,16.22,-0.01,0.00,-0.65,-0.01,-1.00,-1.00,-0.22,20.24,-0.07,69.65,22.94,0.33,0.30,-0.17,-0.01,18.47,-0.16,-1.00,-1.00,88.24,0.29,0.29,0.36,46.83,0.89,-1.00,-1.00,0.91,-0.01,0.05,0.19,-0.12,-0.08,-2.87,-1.10,17.82,0.45,-0.17,-1.00,-1.00,39.16,107.38,124.28,0.62,64.50,1586,,,,,
4614,Purple Monkey Dishwasher,5.00,-0.02,0.14,0.14,0.02,0.00,1.40,0.02,-1.00,-1.00,0.47,6.54,4.54,-2.17,-0.55,0.33,0.35,-0.20,-0.01,17.96,-0.18,-1.00,-1.00,31.09,0.04,0.17,0.06,13.68,0.00,-1.00,-1.00,0.00,-0.01,0.34,0.12,0.04,-0.01,2.68,0.45,19.36,0.47,-0.16,-1.00,-1.00,-0.41,38.08,37.13,-0.15,-23.69,1361,,,,,
4729,EMUs (Experimental Mayhem Unit),-0.45,-0.00,0.10,0.10,-0.01,0.00,-0.51,-0.01,-1.00,-1.00,-0.17,-0.86,1.62,-1.23,-0.41,0.33,0.19,0.01,-0.00,21.77,0.42,-1.00,-1.00,35.64,-0.05,0.19,0.14,14.28,0.64,-1.00,-1.00,-0.09,-0.00,0.12,0.03,-0.10,-0.21,-1.88,-4.98,21.26,0.54,0.41,-1.00,-1.00,-0.31,29.80,27.77,0.10,-27.71,1379,,,,,
4739,Thunderbolts Robotics,3.01,-0.00,-0.42,-0.42,0.10,0.00,6.04,0.10,-1.00,-1.00,2.01,8.63,0.12,-0.90,-0.25,0.33,0.20,0.06,-0.01,19.26,0.44,-1.00,-1.00,29.70,-0.16,0.11,0.26,10.69,0.27,-1.00,-1.00,-0.01,-0.01,0.25,-0.16,-0.04,0.03,0.13,-0.13,25.31,0.58,0.54,-1.00,-1.00,-0.67,38.20,36.41,0.06,-24.41,1329,,,,,
4774,The Drop Bears,5.04,0.00,0.06,0.06,0.10,0.00,6.08,0.10,-1.00,-1.00,2.03,11.18,-0.15,-0.42,-0.13,0.33,0.34,0.02,0.08,27.26,1.15,-1.00,-1.00,40.28,0.05,-0.10,0.31,13.15,0.50,-1.00,-1.00,-0.01,0.08,-0.21,-0.12,0.24,0.14,5.00,2.93,33.34,0.78,1.26,-1.00,-1.00,-0.07,54.39,62.28,0.18,8.02,1407,,,,,
4802,BLACKTOWN GIRLS,3.56,-0.02,0.87,0.87,-0.08,0.00,-4.92,-0.08,-1.00,-1.00,-1.64,-0.48,-0.41,0.64,0.24,0.33,0.11,-0.19,-0.01,13.33,-0.48,-1.00,-1.00,26.59,0.25,0.01,-0.00,13.01,0.09,-1.00,-1.00,0.02,-0.01,0.53,0.16,0.01,0.00,2.77,0.80,8.42,0.25,-0.56,-1.00,-1.00,1.11,26.91,26.84,-0.06,-35.67,1306,,,,,
5087,Marsden High School,5.71,0.00,-0.29,-0.29,-0.09,0.00,-5.49,-0.09,-1.00,-1.00,-1.83,-0.07,0.72,0.00,0.08,0.33,0.39,0.20,-0.01,40.24,1.60,-1.00,-1.00,85.73,0.26,0.41,0.23,45.42,0.71,-1.00,-1.00,-0.01,-0.01,0.00,0.24,0.09,0.12,2.24,4.28,34.75,0.91,1.51,-1.00,-1.00,-0.21,89.95,88.93,0.23,23.62,1434,,,,,
