SouthernCross,ausc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1772,The Brazilian Trail Blazers,4.44,0.08,0.51,0.51,0.28,0.00,16.98,0.28,-1.00,-1.00,5.66,21.93,-0.20,-0.33,-0.07,0.34,0.40,0.65,0.08,47.50,3.59,-1.00,-1.00,90.79,0.47,0.02,0.38,43.37,0.79,-1.00,-1.00,-0.08,0.08,0.31,-0.11,-0.21,-0.26,-3.61,-7.04,64.48,1.47,3.88,-1.00,-1.00,0.44,105.68,111.95,0.68,105.86,1591,,,,,
3132,Thunder Down Under,4.82,-0.00,6.09,6.09,0.20,0.00,11.94,0.20,-1.00,-1.00,3.98,22.85,0.22,14.26,4.50,0.33,0.37,0.14,-0.00,25.64,1.07,-1.00,-1.00,65.64,0.29,0.14,0.28,35.50,0.67,-1.00,-1.00,-0.05,-0.00,-0.05,-0.13,-0.12,0.13,-3.31,2.59,37.58,0.84,1.27,-1.00,-1.00,10.59,91.08,89.59,0.22,38.42,1543,,,,,
4253,Raid Zero,5.53,-0.01,-1.80,-1.80,0.24,0.00,14.34,0.24,-1.00,-1.00,4.78,18.07,-0.49,-0.93,-0.40,0.35,0.40,0.36,-0.01,34.01,1.94,-1.00,-1.00,70.56,0.05,0.38,0.31,36.94,0.71,-1.00,-1.00,-0.06,-0.01,0.31,0.19,0.01,0.86,1.89,22.44,48.36,1.09,2.17,-1.00,-1.00,-2.20,111.07,108.90,0.26,29.55,1529,,,,,
4537,RoboRoos,5.06,-0.01,0.26,0.26,-0.10,0.00,-6.10,-0.10,-1.00,-1.00,-2.03,-0.79,-0.45,-2.19,-0.73,0.36,0.37,0.38,-0.01,48.10,2.34,-1.00,-1.00,102.66,0.37,0.33,0.40,55.29,0.93,-1.00,-1.00,0.02,-0.01,0.11,0.00,-0.06,0.34,-0.85,8.45,42.00,1.10,2.24,-1.00,-1.00,-0.47,110.32,110.01,0.36,46.43,1460,,,,,
4613,Barker Redbacks,5.83,0.09,19.40,19.40,-0.02,0.00,-1.01,-0.02,-1.00,-1.00,-0.34,24.21,0.29,51.28,16.90,0.34,0.38,0.02,0.09,34.14,1.40,-1.00,-1.00,90.89,0.38,0.20,0.22,39.85,0.84,-1.00,-1.00,0.66,0.09,-0.19,-0.08,0.20,0.62,3.99,15.17,33.13,0.84,1.38,-1.00,-1.00,36.29,130.27,152.02,0.52,84.01,1566,,,,,
4739,Thunderbolts Robotics,0.06,-0.01,1.95,1.95,0.22,0.00,13.06,0.22,-1.00,-1.00,4.35,15.06,1.02,0.10,0.17,0.33,0.19,0.12,-0.01,16.72,0.59,-1.00,-1.00,32.31,0.24,-0.07,0.14,15.41,0.21,-1.00,-1.00,0.04,-0.01,-0.04,-0.21,0.40,-0.20,9.75,-6.04,29.78,0.64,0.81,-1.00,-1.00,2.12,41.33,41.45,0.15,-27.83,1303,,,,,
4774,The Drop Bears,4.93,-0.00,-0.05,-0.05,0.20,0.00,11.76,0.20,-1.00,-1.00,3.92,16.65,0.69,1.68,0.70,0.25,0.31,0.23,-0.00,23.81,1.24,-1.00,-1.00,33.64,0.19,-0.01,0.00,9.13,0.21,-1.00,-1.00,0.03,-0.00,0.00,0.08,-0.12,0.05,-2.93,1.72,35.57,0.79,1.44,-1.00,-1.00,0.66,52.01,52.48,0.32,9.56,1415,,,,,
4801,Blacktown Boys,4.01,0.01,0.05,0.05,0.16,0.00,9.80,0.16,-1.00,-1.00,3.27,13.86,-0.41,-1.09,-0.35,0.34,0.14,-0.03,0.01,11.93,0.06,-1.00,-1.00,3.22,0.01,-0.01,-0.16,-8.37,0.00,-1.00,-1.00,-0.01,0.01,-0.02,0.13,0.69,-0.17,17.04,-3.64,21.73,0.46,0.23,-1.00,-1.00,-0.30,13.44,13.92,0.04,-72.22,1254,,,,,
4817,One Degree North,5.32,0.08,0.38,0.38,0.22,0.00,13.00,0.22,-1.00,-1.00,4.33,18.71,-0.24,-1.26,-0.40,0.34,0.38,0.16,0.08,29.54,1.65,-1.00,-1.00,41.45,0.24,0.01,-0.00,12.31,0.36,-1.00,-1.00,-0.05,0.08,0.10,-0.07,0.00,-0.07,0.57,-2.18,42.54,0.96,1.86,-1.00,-1.00,-0.02,57.97,64.51,0.40,33.81,1467,,,,,
5087,Marsden High School,0.04,-0.01,-0.33,-0.33,-0.31,0.00,-18.31,-0.31,-1.00,-1.00,-6.10,-18.59,-0.23,-2.19,-0.71,0.34,0.21,-0.16,-0.01,27.24,0.02,-1.00,-1.00,67.12,0.06,0.48,0.28,40.60,0.71,-1.00,-1.00,0.01,-0.01,0.06,0.06,-0.03,0.59,-0.38,14.97,8.93,0.38,-0.29,-1.00,-1.00,-1.04,63.50,62.81,0.13,4.11,1447,,,,,
5331,Lightning Bots,4.42,-0.01,0.14,0.14,0.19,0.00,11.41,0.19,-1.00,-1.00,3.80,15.98,1.11,-1.14,-0.32,0.33,0.37,0.35,-0.01,34.21,1.90,-1.00,-1.00,60.80,0.26,0.12,0.16,26.91,0.47,-1.00,-1.00,0.04,-0.01,-0.03,0.37,0.03,-0.21,0.70,-3.40,45.62,1.05,2.09,-1.00,-1.00,-0.18,73.37,73.20,0.23,-3.26,1443,,,,,
5584,i c robotics,4.72,-0.01,-0.47,-0.47,0.03,0.00,1.63,0.03,-1.00,-1.00,0.54,5.89,-0.30,-2.23,-0.86,0.34,0.29,0.10,-0.01,27.63,0.88,-1.00,-1.00,33.59,0.08,0.17,-0.11,6.83,0.29,-1.00,-1.00,-0.05,-0.01,0.32,0.02,0.12,0.04,4.69,1.22,29.26,0.72,0.91,-1.00,-1.00,-1.33,40.71,38.42,0.20,8.85,1399,,,,,
5593,Tassie Tigers,4.78,-0.01,-1.06,-1.06,0.06,0.00,3.78,0.06,-1.00,-1.00,1.26,7.49,-0.17,3.71,1.29,0.35,0.21,0.27,-0.01,29.98,1.39,-1.00,-1.00,63.49,0.14,0.23,0.28,32.22,0.43,-1.00,-1.00,0.03,-0.01,-0.12,0.07,0.66,-0.16,15.78,-3.58,33.76,0.81,1.45,-1.00,-1.00,0.22,67.40,67.02,-0.09,-21.26,1435,,,,,
5893,International Grammar School,3.11,-0.01,-1.07,-1.07,0.09,0.00,5.14,0.09,-1.00,-1.00,1.71,7.19,0.14,4.74,1.52,0.33,0.29,0.20,-0.01,29.39,1.26,-1.00,-1.00,41.63,0.01,0.25,-0.05,10.72,0.14,-1.00,-1.00,0.03,-0.01,-0.15,0.17,0.02,-0.28,-0.15,-6.18,34.54,0.82,1.34,-1.00,-1.00,0.45,42.65,42.31,-0.01,-29.33,1359,,,,,
