St.Louis,mosl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
34,Rockets,4.35,0.10,0.89,0.89,0.30,0.00,18.19,0.30,-1.00,-1.00,6.06,23.44,-8.52,-1.40,-1.37,0.23,0.24,0.31,0.10,23.47,1.94,-1.00,-1.00,33.61,0.16,0.03,0.03,11.52,0.50,-1.00,-1.00,0.00,0.10,0.13,-0.02,0.33,-0.00,8.83,-0.19,41.66,0.89,2.24,-1.00,-1.00,-0.48,56.87,67.20,0.20,-20.11,1461,,,,,
537,Charger Robotics,0.78,-0.01,3.91,3.91,0.05,0.00,2.93,0.05,-1.00,-1.00,0.98,7.62,0.87,31.32,10.26,0.33,-0.09,-0.09,-0.01,3.74,-0.61,-1.00,-1.00,48.86,0.13,0.24,0.32,34.85,0.63,-1.00,-1.00,0.06,-0.01,0.03,0.10,0.41,-0.05,10.43,-0.76,6.68,0.14,-0.56,-1.00,-1.00,14.17,55.72,56.17,0.09,-6.87,1483,,,,,
538,Dragon Slayers,3.12,-0.03,0.05,0.05,0.03,0.00,1.97,0.03,-1.00,-1.00,0.66,5.14,1.22,0.59,0.31,0.23,0.04,-0.01,-0.04,7.39,-0.26,-1.00,-1.00,45.62,0.32,0.23,0.21,37.92,0.60,-1.00,-1.00,0.01,-0.04,0.04,-0.03,0.14,-0.18,3.57,-4.66,9.36,0.22,-0.23,-1.00,-1.00,0.36,46.10,42.15,0.21,-4.21,1396,,,,,
648,QC ELITE - Flaming Squirrels,4.99,-0.01,1.93,1.93,0.06,0.00,3.57,0.06,-1.00,-1.00,1.19,10.48,-3.05,-3.54,-1.59,0.34,-0.00,-0.01,0.02,11.40,0.01,-1.00,-1.00,53.30,0.40,0.40,0.07,43.49,0.64,-1.00,-1.00,0.06,0.02,0.01,0.05,-0.25,-0.09,-6.28,-2.13,14.97,0.34,0.07,-1.00,-1.00,0.34,61.65,64.75,0.15,18.91,1484,,,,,
931,Perpetual Chaos,6.02,-0.00,-1.53,-1.53,0.12,0.00,7.02,0.12,-1.00,-1.00,2.34,11.51,0.08,0.12,-0.02,0.35,0.39,0.27,-0.00,35.57,1.72,-1.00,-1.00,45.23,-0.15,-0.16,0.51,9.69,0.40,-1.00,-1.00,-0.05,-0.00,0.23,0.02,-0.20,-0.17,-3.86,-4.05,42.59,1.01,1.83,-1.00,-1.00,-1.55,52.69,51.56,0.11,-3.03,1451,,,,,
932,Circuit Chargers,4.23,-0.00,1.82,1.82,0.10,0.00,5.83,0.10,-1.00,-1.00,1.94,11.88,2.38,-1.50,-0.44,0.34,0.44,0.34,0.00,40.94,2.15,-1.00,-1.00,76.73,0.37,0.08,0.27,36.22,0.50,-1.00,-1.00,0.04,0.00,0.18,-0.01,0.06,0.24,2.41,5.91,46.77,1.12,2.25,-1.00,-1.00,1.39,94.52,95.62,0.24,41.40,1511,,,,,
1094,Channel Cats,3.89,-0.00,-1.06,-1.06,0.27,0.00,16.15,0.27,-1.00,-1.00,5.38,18.98,-1.36,0.23,-0.08,0.35,0.43,0.10,0.00,24.58,1.01,-1.00,-1.00,35.22,0.11,-0.15,0.25,10.73,0.33,-1.00,-1.00,-0.06,0.00,-0.05,0.02,0.41,0.40,10.11,10.13,40.73,0.88,1.28,-1.00,-1.00,-1.14,64.34,63.29,0.13,-26.87,1461,,,,,
1178,DuRT  (De Smet united Robotics Team),5.55,-0.01,2.25,2.25,0.38,0.00,22.56,0.38,-1.00,-1.00,7.52,30.35,-6.49,0.58,-0.68,0.33,0.42,0.18,-0.01,21.68,1.10,-1.00,-1.00,58.84,0.34,0.34,0.07,37.84,0.33,-1.00,-1.00,0.05,-0.01,0.09,0.10,0.07,0.41,2.28,10.76,44.24,0.92,1.48,-1.00,-1.00,1.56,99.94,99.83,0.27,0.24,1470,,,,,
1208,Metool Brigade,6.08,-0.01,-0.27,-0.27,0.07,0.00,4.04,0.07,-1.00,-1.00,1.35,9.86,0.36,1.02,0.31,0.34,0.32,0.27,-0.03,33.14,1.47,-1.00,-1.00,55.96,0.32,-0.01,0.14,22.51,0.70,-1.00,-1.00,0.01,-0.03,-0.13,-0.04,0.06,-0.15,0.92,-4.01,37.18,0.90,1.54,-1.00,-1.00,0.04,61.81,59.27,0.19,-8.94,1453,,,,,
