Toluca,mxtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2283,Panteras,3.46,0.05,0.01,-0.03,0.06,0.00,3.56,0.06,-1.00,-1.00,1.19,6.99,0.41,-3.71,-1.28,0.25,0.19,-0.02,0.00,14.37,0.15,-1.00,-1.00,10.12,0.05,-0.05,-0.06,-2.97,0.18,-1.00,-1.00,0.00,0.00,-0.20,0.48,-0.06,0.24,-2.48,8.50,17.93,0.42,0.21,-1.00,-1.00,-1.31,25.61,25.61,0.10,-12.34,1430,,,,,
3158,TECBOT,3.89,-0.27,0.24,0.19,0.32,0.00,19.11,0.32,-1.00,-1.00,6.37,23.19,0.39,1.21,0.46,0.34,0.46,0.02,0.00,20.22,0.65,-1.00,-1.00,27.49,0.10,0.15,-0.11,6.81,0.13,-1.00,-1.00,0.00,0.00,-0.03,0.09,0.25,0.36,6.16,9.50,39.33,0.82,0.96,-1.00,-1.00,0.64,60.18,60.18,0.27,28.86,1480,,,,,
3354,TecDroid,4.33,0.25,-0.04,0.03,-0.03,0.00,-1.73,-0.03,-1.00,-1.00,-0.58,2.64,-0.16,0.48,0.12,0.35,0.25,-0.00,0.00,25.34,0.55,-1.00,-1.00,41.03,0.05,0.12,0.14,15.58,0.13,-1.00,-1.00,0.00,0.00,-0.09,0.19,0.06,0.24,1.06,6.86,23.61,0.60,0.53,-1.00,-1.00,0.15,50.53,50.53,0.22,18.53,1418,,,,,
3472,Buluk,2.18,8.19,0.14,2.59,0.03,0.00,1.74,0.03,-1.00,-1.00,0.58,6.52,0.79,-0.77,-0.16,0.35,0.48,-0.01,0.00,31.22,0.85,-1.00,-1.00,52.29,0.05,0.25,0.12,21.23,0.50,-1.00,-1.00,0.00,0.00,-0.24,0.55,0.07,0.12,0.64,5.86,32.96,0.81,0.88,-1.00,-1.00,2.43,64.67,64.67,0.48,33.75,1444,,,,,
3478,LamBot,5.61,0.14,3.62,3.66,0.07,0.00,3.91,0.07,-1.00,-1.00,1.30,13.18,-0.46,29.41,9.50,0.36,0.49,-0.01,0.00,31.12,0.90,-1.00,-1.00,74.59,0.25,0.35,0.08,33.98,0.54,-1.00,-1.00,0.00,0.00,-0.14,0.16,-0.17,-0.06,-4.95,-0.75,35.03,0.84,0.97,-1.00,-1.00,13.16,87.02,87.02,0.54,62.49,1526,,,,,
3480,ABTOMAT,-0.47,0.04,0.49,0.50,-0.13,0.00,-7.83,-0.13,-1.00,-1.00,-2.61,-7.80,-0.01,-1.05,-0.47,0.35,-0.03,-0.03,0.00,16.65,-0.06,-1.00,-1.00,20.29,0.09,-0.11,0.10,4.11,0.00,-1.00,-1.00,0.00,0.00,0.57,0.36,0.21,-0.07,8.06,0.14,8.82,0.29,-0.19,-1.00,-1.00,0.04,12.63,12.63,-0.15,-22.65,1390,,,,,
3510,Tectronic,4.04,-0.86,-0.37,-0.62,0.24,0.00,14.35,0.24,-1.00,-1.00,4.78,17.77,0.84,2.85,0.95,0.33,0.13,-0.02,0.00,7.93,-0.08,-1.00,-1.00,1.66,-0.04,-0.05,-0.05,-7.22,0.00,-1.00,-1.00,0.00,0.00,0.01,0.10,-0.11,0.35,-2.79,9.39,22.28,0.44,0.16,-1.00,-1.00,0.33,28.81,28.81,0.33,0.32,1390,,,,,
3527,Tec Balam Esmeralda,5.87,-0.18,-0.09,-0.14,-0.02,0.00,-1.19,-0.02,-1.00,-1.00,-0.40,4.54,-0.09,-0.35,-0.13,0.35,0.09,-0.01,0.00,18.08,0.17,-1.00,-1.00,21.48,0.08,-0.11,0.10,3.53,0.29,-1.00,-1.00,0.00,0.00,-0.24,0.02,0.18,-0.21,3.22,-5.27,16.89,0.43,0.15,-1.00,-1.00,-0.28,20.74,20.74,0.18,-24.35,1389,,,,,
3794,WinT,-0.04,-0.00,-0.11,-0.16,-0.03,0.00,-1.85,-0.03,-1.00,-1.00,-0.62,-2.05,-0.19,0.34,0.05,0.36,-0.16,0.00,0.00,9.17,-0.17,-1.00,-1.00,33.60,0.36,0.11,0.02,24.38,0.53,-1.00,-1.00,0.00,0.00,0.28,-0.07,-0.15,0.08,-2.34,1.55,7.32,0.20,-0.20,-1.00,-1.00,-0.11,33.10,33.10,0.31,19.18,1453,,,,,
3933,Taman Keet,3.31,0.14,0.03,0.08,-0.03,0.00,-1.59,-0.03,-1.00,-1.00,-0.53,1.79,-0.12,-0.10,-0.06,0.34,0.40,0.10,0.00,34.56,1.24,-1.00,-1.00,37.34,-0.09,0.16,-0.02,2.84,0.15,-1.00,-1.00,0.00,0.00,-0.32,0.74,0.00,0.31,-1.48,11.54,32.96,0.84,1.21,-1.00,-1.00,0.02,50.67,50.67,0.48,15.89,1428,,,,,
4010,Nautilus,2.92,0.14,-0.30,-0.23,0.17,0.00,10.13,0.17,-1.00,-1.00,3.38,12.82,-0.38,3.81,1.20,0.23,0.21,0.11,0.00,15.39,0.59,-1.00,-1.00,12.16,-0.08,0.08,-0.08,-4.44,0.00,-1.00,-1.00,0.00,0.00,0.32,-0.29,0.16,-0.17,5.65,-5.84,25.52,0.55,0.76,-1.00,-1.00,0.97,19.14,19.14,0.01,-27.57,1422,,,,,
4262,RoboHawk,5.31,0.14,-0.34,-0.31,-0.10,0.00,-5.74,-0.10,-1.00,-1.00,-1.91,-0.74,-0.02,2.96,1.02,0.31,0.25,-0.01,0.00,25.56,0.54,-1.00,-1.00,49.35,0.40,0.12,-0.07,22.77,0.25,-1.00,-1.00,0.00,0.00,0.22,0.28,-0.11,-0.21,-1.61,-3.88,19.81,0.54,0.44,-1.00,-1.00,0.71,44.73,44.73,0.27,15.14,1420,,,,,
4371,ART 4371,5.55,0.17,0.17,0.22,-0.07,0.00,-4.30,-0.07,-1.00,-1.00,-1.43,1.47,-0.06,0.45,0.16,0.23,0.20,0.01,0.00,20.36,0.40,-1.00,-1.00,25.84,0.12,0.01,-0.02,5.33,0.20,-1.00,-1.00,0.00,0.00,-0.02,0.14,-0.01,0.34,-0.48,9.32,16.05,0.44,0.33,-1.00,-1.00,0.38,36.64,36.64,0.44,1.03,1415,,,,,
4401,CETMOV,5.42,-0.01,0.28,0.28,-0.04,0.00,-2.30,-0.04,-1.00,-1.00,-0.77,3.40,-0.17,0.33,0.12,0.38,0.58,-0.01,0.00,39.42,1.18,-1.00,-1.00,50.05,0.07,0.06,0.08,10.52,0.31,-1.00,-1.00,0.00,0.00,-0.01,-0.03,-0.06,0.41,-1.51,10.16,37.12,0.95,1.14,-1.00,-1.00,0.39,63.62,63.62,0.55,46.23,1461,,,,,
