Utah,utwv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
662,Rocky Mountain Robotics,4.99,0.00,1.08,1.08,0.35,0.00,21.27,0.35,-1.00,-1.00,7.09,27.35,-4.16,1.07,-0.18,0.34,0.52,-0.05,0.00,18.04,0.46,-1.00,-1.00,65.92,0.12,0.32,0.52,48.06,0.75,-1.00,-1.00,-0.00,0.00,0.04,0.04,0.08,0.55,2.21,14.04,39.31,0.81,0.81,-1.00,-1.00,0.90,107.30,107.28,0.58,45.01,1603,,,,,
846,The Funky Monkeys,3.66,0.00,0.06,0.06,0.36,0.00,21.53,0.36,-1.00,-1.00,7.18,25.24,2.19,-1.89,-0.53,0.31,0.25,0.22,0.00,17.19,1.12,-1.00,-1.00,52.14,0.27,0.09,0.36,35.47,0.79,-1.00,-1.00,0.00,0.00,0.10,-0.00,0.26,0.09,6.90,2.18,38.72,0.79,1.48,-1.00,-1.00,-0.47,79.56,79.58,0.17,17.55,1467,,,,,
987,HIGHROLLERS,5.37,0.00,7.20,7.20,0.48,0.00,28.95,0.48,-1.00,-1.00,9.65,41.52,0.26,39.17,12.67,0.33,0.42,0.26,0.00,21.01,1.37,-1.00,-1.00,95.11,0.38,0.61,0.24,61.43,0.88,-1.00,-1.00,0.19,0.00,-0.06,0.17,-0.11,-0.10,-2.99,-1.54,49.96,1.01,1.85,-1.00,-1.00,19.87,135.09,138.95,0.37,60.76,1793,,,,,
1339,AngelBotics,3.55,0.00,-0.73,-0.73,0.09,0.00,5.35,0.09,-1.00,-1.00,1.78,8.17,-3.60,-4.38,-1.78,0.34,0.30,-0.07,0.00,19.31,0.32,-1.00,-1.00,50.73,0.17,0.25,0.25,33.20,0.75,-1.00,-1.00,-0.02,0.00,-0.07,-0.10,0.22,0.29,5.08,6.72,24.66,0.57,0.41,-1.00,-1.00,-2.51,65.62,65.19,0.16,7.30,1508,,,,,
1619,Up-A-Creek Robotics,4.51,0.00,15.07,15.07,-0.04,0.00,-2.66,-0.04,-1.00,-1.00,-0.89,16.92,4.45,10.15,3.60,0.34,0.46,0.54,0.00,55.09,3.06,-1.00,-1.00,82.62,0.45,-0.08,0.11,23.94,0.88,-1.00,-1.00,0.02,0.00,0.05,0.01,0.18,-0.07,4.67,-1.64,52.43,1.33,3.02,-1.00,-1.00,18.67,97.90,98.20,0.18,16.26,1597,,,,,
1891,Bullbots,3.77,0.00,-2.52,-2.52,-0.08,0.00,-4.87,-0.08,-1.00,-1.00,-1.62,-3.62,-0.94,-5.18,-1.75,0.34,0.28,-0.01,0.00,27.60,0.61,-1.00,-1.00,37.78,0.05,0.20,-0.01,11.92,0.40,-1.00,-1.00,-0.04,0.00,-0.08,0.11,0.22,0.17,4.98,4.73,22.73,0.61,0.52,-1.00,-1.00,-4.26,38.88,38.07,0.11,-14.91,1491,,,,,
2073,EagleForce,3.53,0.00,-1.16,-1.16,0.12,0.00,7.42,0.12,-1.00,-1.00,2.47,9.78,0.43,-0.67,-0.26,0.33,0.17,0.19,0.00,22.61,1.06,-1.00,-1.00,70.81,-0.03,0.58,0.42,48.45,0.94,-1.00,-1.00,-0.00,0.00,0.14,-0.08,-0.03,1.06,-0.11,26.12,30.03,0.69,1.19,-1.00,-1.00,-1.42,106.71,106.63,0.25,66.19,1617,,,,,
2122,Team Tators,5.04,0.00,2.56,2.56,0.30,0.00,18.02,0.30,-1.00,-1.00,6.01,25.61,-0.57,1.45,0.32,0.35,0.50,0.41,0.00,38.09,2.29,-1.00,-1.00,70.14,0.13,0.46,0.05,31.73,0.43,-1.00,-1.00,-0.00,0.00,-0.02,0.05,-0.04,0.19,-1.09,4.90,56.11,1.25,2.59,-1.00,-1.00,2.87,100.65,100.60,0.54,74.64,1710,,,,,
2403,Plasma Robotics,3.92,0.00,0.31,0.31,0.31,0.00,18.57,0.31,-1.00,-1.00,6.19,22.80,-1.05,-0.26,-0.12,0.32,0.34,0.42,0.00,30.99,2.15,-1.00,-1.00,55.41,0.27,-0.01,0.23,24.54,0.86,-1.00,-1.00,-0.00,0.00,0.11,0.03,0.27,0.63,7.24,15.88,49.56,1.08,2.46,-1.00,-1.00,0.19,94.09,94.01,0.54,40.69,1546,,,,,
