Ventura,cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
8,Paly Robotics,3.78,0.01,-0.54,-0.54,0.15,0.00,8.81,0.15,-1.00,-1.00,2.94,12.06,-0.05,-0.09,-0.01,0.33,0.43,0.59,0.09,51.60,3.58,-1.00,-1.00,72.55,0.01,0.26,0.15,20.96,0.62,-1.00,-1.00,0.00,0.09,-0.12,-0.01,0.50,0.49,11.98,12.08,60.41,1.44,3.73,-1.00,-1.00,-0.55,96.69,105.45,0.08,14.24,1469,,,,,
114,Eagle Strike,3.65,-0.01,-0.17,-0.17,-0.07,0.00,-4.30,-0.07,-1.00,-1.00,-1.43,-0.82,-0.21,0.06,-0.02,0.33,0.15,0.27,0.00,32.76,1.44,-1.00,-1.00,53.17,0.43,-0.06,0.03,20.43,0.44,-1.00,-1.00,0.00,0.00,0.15,0.04,0.32,0.02,8.78,0.66,28.46,0.75,1.37,-1.00,-1.00,-0.18,53.00,53.15,0.06,-12.05,1462,,,,,
580,Viking Robotics,5.58,-0.01,0.60,0.60,-0.14,0.00,-8.11,-0.14,-1.00,-1.00,-2.70,-1.93,0.03,2.96,0.92,0.33,0.25,-0.08,0.00,25.69,0.32,-1.00,-1.00,26.62,-0.04,-0.07,0.10,0.01,0.00,-1.00,-1.00,0.00,0.00,0.49,0.04,-0.27,-0.14,-4.26,-3.28,17.58,0.51,0.19,-1.00,-1.00,1.52,21.41,21.54,0.03,-27.80,1370,,,,,
589,Falkon Robotics,4.75,-0.01,0.02,0.02,-0.05,0.00,-3.20,-0.05,-1.00,-1.00,-1.07,1.57,1.17,0.88,0.43,0.33,0.37,0.10,0.00,34.39,1.21,-1.00,-1.00,37.59,0.10,-0.11,0.06,2.77,0.27,-1.00,-1.00,0.00,0.00,-0.09,-0.01,0.07,0.08,1.27,1.91,31.19,0.81,1.15,-1.00,-1.00,0.45,41.06,41.38,0.14,-1.64,1423,,,,,
599,Robodox,4.26,-0.00,0.72,0.72,0.03,0.00,2.08,0.03,-1.00,-1.00,0.69,7.06,0.09,-1.42,-0.45,0.33,0.40,0.10,0.01,32.08,1.19,-1.00,-1.00,71.12,0.25,0.31,0.24,39.49,0.80,-1.00,-1.00,0.00,0.01,0.10,0.25,0.12,-0.13,3.40,-1.89,34.15,0.84,1.22,-1.00,-1.00,0.28,76.30,76.94,0.46,32.35,1509,,,,,
702,Bagel Bytes,3.25,-0.00,0.17,0.17,0.32,0.00,19.24,0.32,-1.00,-1.00,6.41,22.67,0.03,-0.53,-0.17,0.33,0.22,0.34,0.00,23.18,1.50,-1.00,-1.00,61.38,0.05,0.22,0.50,38.38,0.77,-1.00,-1.00,0.00,0.00,0.41,-0.14,-0.16,0.58,-1.93,13.73,42.42,0.90,1.82,-1.00,-1.00,0.00,97.78,97.82,0.36,45.67,1492,,,,,
981,Snobotics,4.67,-0.02,-0.25,-0.25,0.11,0.00,6.73,0.11,-1.00,-1.00,2.24,11.15,-0.13,1.22,0.39,0.33,0.22,-0.05,-0.00,15.57,0.12,-1.00,-1.00,41.24,0.25,0.02,0.23,25.28,0.15,-1.00,-1.00,0.00,-0.00,-0.06,0.22,-0.16,0.19,-4.18,5.88,22.30,0.50,0.23,-1.00,-1.00,0.14,58.27,58.23,0.17,-5.07,1473,,,,,
1138,Eagle Engineering,-0.49,-0.01,-0.46,-0.46,0.06,0.00,3.84,0.06,-1.00,-1.00,1.28,2.90,-0.29,0.39,0.10,0.33,0.33,0.03,-0.02,24.41,0.59,-1.00,-1.00,38.62,-0.12,0.21,0.19,14.10,0.36,-1.00,-1.00,0.00,-0.02,0.15,0.28,0.40,0.81,10.71,21.56,28.26,0.67,0.66,-1.00,-1.00,-0.35,63.07,61.12,0.11,-13.91,1445,,,,,
1515,MorTorq,5.42,-0.01,0.07,0.07,0.11,0.00,6.84,0.11,-1.00,-1.00,2.28,12.33,0.15,-1.02,-0.35,0.33,0.18,0.01,-0.00,16.16,0.26,-1.00,-1.00,18.42,-0.03,0.08,-0.01,2.61,0.14,-1.00,-1.00,0.00,-0.00,-0.14,0.42,0.07,-0.03,1.04,1.49,23.00,0.52,0.37,-1.00,-1.00,-0.28,32.24,32.04,0.21,-21.90,1392,,,,,
1622,Team Spyder,4.69,0.00,-0.13,-0.13,0.06,0.00,3.73,0.06,-1.00,-1.00,1.24,8.30,-0.06,-0.31,-0.09,0.33,0.21,0.10,-0.01,22.79,0.69,-1.00,-1.00,61.13,0.17,0.40,0.20,38.44,0.87,-1.00,-1.00,0.00,-0.01,-0.05,0.11,0.30,0.05,7.27,1.67,26.52,0.63,0.75,-1.00,-1.00,-0.22,71.10,70.04,-0.03,1.26,1410,,,,,
1661,Griffitrons,2.80,-0.01,0.07,0.07,0.20,0.00,12.00,0.20,-1.00,-1.00,4.00,14.88,-0.19,-0.32,-0.10,0.33,0.41,0.42,0.00,38.59,2.31,-1.00,-1.00,41.25,-0.17,0.00,0.22,2.76,0.09,-1.00,-1.00,0.00,0.00,0.00,-0.04,0.40,0.26,9.91,6.30,50.59,1.16,2.51,-1.00,-1.00,-0.03,62.43,62.46,0.15,-3.90,1416,,,,,
1967,The Janksters,4.12,-0.01,-0.69,-0.69,-0.24,0.00,-14.35,-0.24,-1.00,-1.00,-4.78,-10.93,-0.28,-0.14,-0.07,0.33,0.03,-0.03,-0.01,22.31,0.10,-1.00,-1.00,67.14,0.42,0.23,0.25,44.90,0.67,-1.00,-1.00,0.00,-0.01,0.44,-0.18,-0.23,0.00,-3.49,-0.78,7.96,0.32,-0.14,-1.00,-1.00,-0.77,55.44,54.45,0.18,11.34,1450,,,,,
2429,La Canada Engineerng Cub,4.13,0.01,0.15,0.15,0.50,0.00,29.98,0.50,-1.00,-1.00,9.99,34.26,0.05,2.64,0.84,0.33,0.47,-0.21,-0.01,3.30,-0.45,-1.00,-1.00,39.62,0.00,0.33,0.38,35.48,0.64,-1.00,-1.00,0.00,-0.01,0.05,-0.23,-0.06,-0.07,-1.22,-2.77,33.29,0.58,0.05,-1.00,-1.00,0.99,71.11,70.48,0.18,7.82,1414,,,,,
2443,Blue Thunder,4.21,0.09,1.93,1.93,0.18,0.00,11.01,0.18,-1.00,-1.00,3.67,17.15,-0.16,14.05,4.40,0.33,0.19,-0.08,-0.01,10.01,-0.17,-1.00,-1.00,24.61,-0.01,0.10,0.11,10.21,0.27,-1.00,-1.00,0.00,-0.01,0.03,0.44,0.41,0.31,10.50,9.93,21.01,0.43,0.01,-1.00,-1.00,6.33,51.70,51.14,0.12,-20.74,1432,,,,,
2489,The Insomniacs,4.56,-0.02,-0.67,-0.67,-0.01,0.00,-0.32,-0.01,-1.00,-1.00,-0.11,3.58,0.03,0.40,0.05,0.33,0.42,0.02,0.00,31.12,0.93,-1.00,-1.00,36.15,-0.14,0.17,0.07,4.98,0.27,-1.00,-1.00,0.00,0.00,0.04,-0.11,-0.18,-0.11,-4.32,-3.38,30.80,0.77,0.93,-1.00,-1.00,-0.62,36.34,36.48,0.10,-7.99,1411,,,,,
