WesternCanada,abca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
216,More RoboDawgs,3,4.85,0.01,-0.08,-0.07,0.14,0.00,8.61,0.14,-1.00,-1.00,2.87,13.39,-0.78,-2.75,-1.00,0.33,0.33,0.40,0.00,36.90,2.12,-1.00,-1.00,80.98,0.50,0.31,0.09,45.09,0.85,-1.00,-1.00,-0.06,0.00,0.17,0.06,-0.12,-0.07,-2.03,-1.57,45.51,1.07,2.27,-1.00,-1.00,-1.08,92.80,91.69,0.29,41.77,1492,,,,,
244,RoboDawgs 3D,3,5.29,-0.15,0.41,0.37,0.21,0.00,12.67,0.21,-1.00,-1.00,4.22,18.34,0.23,-4.11,-1.24,0.33,0.34,0.29,-0.01,29.72,1.56,-1.00,-1.00,74.35,0.31,0.31,0.30,45.87,0.71,-1.00,-1.00,-0.04,-0.01,-0.03,0.02,-0.00,0.37,-0.19,9.29,42.39,0.95,1.77,-1.00,-1.00,-0.87,101.98,99.86,0.24,24.04,1505,,,,,
288,The RoboDawgs,3,5.60,0.02,-0.06,-0.10,0.37,0.00,22.45,0.37,-1.00,-1.00,7.48,27.96,-1.45,-2.98,-1.09,0.33,0.33,0.16,-0.01,17.89,0.91,-1.00,-1.00,52.03,0.11,0.26,0.34,35.24,0.79,-1.00,-1.00,0.01,-0.01,0.06,0.10,0.09,0.14,2.58,4.09,40.34,0.82,1.28,-1.00,-1.00,-1.19,84.08,83.76,0.32,7.60,1381,,,,,
1482,Ghosts,2,3.71,-0.00,0.07,0.07,0.07,0.00,4.06,0.07,-1.00,-1.00,1.35,8.06,0.15,0.63,0.21,0.33,0.27,0.06,-0.00,23.35,0.73,-1.00,-1.00,40.41,0.10,0.10,0.10,16.03,-1.00,-1.00,-1.00,-0.00,-0.00,0.11,0.06,0.12,0.06,3.47,1.97,28.48,0.67,0.82,-1.00,-1.00,0.33,52.02,52.09,0.15,-3.79,1431,,,,,
2122,Team Tators,3,5.35,-0.46,25.43,25.29,0.07,-0.01,3.54,0.06,-1.00,-1.00,1.18,34.19,-1.51,30.51,9.80,0.33,0.33,0.28,-0.04,34.14,1.52,-1.00,-1.00,68.38,0.12,0.20,0.17,24.45,0.67,-1.00,-1.00,0.73,-0.04,0.10,-0.07,-0.16,-0.05,-3.44,-1.66,37.68,0.91,1.58,-1.00,-1.00,35.09,100.91,111.69,0.26,32.55,1668,,,,,
2130,Alpha+,2,5.22,0.33,0.90,0.91,0.24,0.00,14.43,0.24,-1.00,-1.00,4.81,18.83,1.84,4.59,1.51,0.36,0.41,0.23,0.02,34.01,1.51,-1.00,-1.00,62.37,0.29,0.29,0.28,33.49,-1.00,-1.00,-1.00,0.01,0.02,-0.12,0.29,-0.14,0.33,-3.30,8.74,39.83,0.92,1.62,-1.00,-1.00,2.05,77.32,77.73,0.34,30.36,1504,,,,,
3216,Missoula Robotics Team (MRT),2,4.61,0.19,0.56,0.57,0.17,0.00,10.22,0.17,-1.00,-1.00,3.41,14.46,1.15,2.98,0.98,0.35,0.35,0.16,0.01,29.68,1.20,-1.00,-1.00,53.46,0.21,0.21,0.21,26.41,-1.00,-1.00,-1.00,0.01,0.01,-0.02,0.20,-0.04,0.22,-0.55,6.00,35.22,0.82,1.30,-1.00,-1.00,1.35,67.05,67.33,0.26,16.50,1423,,,,,
3354,TecDroid,3,4.33,0.25,-0.04,0.03,-0.03,0.00,-1.73,-0.03,-1.00,-1.00,-0.58,2.64,-0.16,0.48,0.12,0.35,0.25,-0.00,0.00,25.34,0.55,-1.00,-1.00,41.03,0.05,0.12,0.14,15.58,0.13,-1.00,-1.00,0.00,0.00,-0.09,0.19,0.06,0.24,1.06,6.86,23.61,0.60,0.53,-1.00,-1.00,0.15,50.53,50.53,0.22,18.53,1418,,,,,
3933,Taman Keet,3,3.31,0.14,0.03,0.08,-0.03,0.00,-1.59,-0.03,-1.00,-1.00,-0.53,1.79,-0.12,-0.10,-0.06,0.34,0.40,0.10,0.00,34.56,1.24,-1.00,-1.00,37.34,-0.09,0.16,-0.02,2.84,0.15,-1.00,-1.00,0.00,0.00,-0.32,0.74,0.00,0.31,-1.48,11.54,32.96,0.84,1.21,-1.00,-1.00,0.02,50.67,50.67,0.48,15.89,1428,,,,,
4010,Nautilus,3,2.92,0.14,-0.30,-0.23,0.17,0.00,10.13,0.17,-1.00,-1.00,3.38,12.82,-0.38,3.81,1.20,0.23,0.21,0.11,0.00,15.39,0.59,-1.00,-1.00,12.16,-0.08,0.08,-0.08,-4.44,0.00,-1.00,-1.00,0.00,0.00,0.32,-0.29,0.16,-0.17,5.65,-5.84,25.52,0.55,0.76,-1.00,-1.00,0.97,19.14,19.14,0.01,-27.57,1422,,,,,
4191,IMC,2,3.50,-0.05,-0.05,-0.04,0.04,0.00,2.58,0.04,-1.00,-1.00,0.86,6.53,-0.09,0.07,0.02,0.32,0.25,0.04,-0.00,21.83,0.62,-1.00,-1.00,37.30,0.07,0.07,0.07,13.55,-1.00,-1.00,-1.00,-0.00,-0.00,0.14,0.03,0.16,0.02,4.44,1.01,26.86,0.64,0.70,-1.00,-1.00,0.08,48.43,48.46,0.12,-8.63,1418,,,,,
4334,Alberta Tech Alliance (ATA),3,4.29,0.00,1.09,1.09,0.62,0.00,37.43,0.62,-1.00,-1.00,12.48,42.81,-1.67,-4.49,-1.60,0.33,0.41,0.37,0.00,19.40,1.64,-1.00,-1.00,43.02,0.20,0.29,0.02,25.22,0.50,-1.00,-1.00,-0.00,0.00,0.09,-0.09,-0.06,0.09,-1.09,1.90,56.83,1.11,2.26,-1.00,-1.00,-0.51,87.73,87.67,0.41,56.30,1677,,,,,
4604,Intimitrons from Area 51,2,3.59,-0.03,-0.00,0.01,0.05,0.00,3.21,0.05,-1.00,-1.00,1.07,7.18,0.01,0.31,0.10,0.32,0.26,0.05,-0.00,22.47,0.67,-1.00,-1.00,38.62,0.08,0.08,0.08,14.60,-1.00,-1.00,-1.00,-0.00,-0.00,0.13,0.04,0.14,0.04,4.03,1.42,27.55,0.65,0.75,-1.00,-1.00,0.19,49.95,50.00,0.13,-6.58,1424,,,,,
4625,Trappers,2,4.39,0.15,0.44,0.45,0.15,0.00,8.72,0.15,-1.00,-1.00,2.91,12.91,0.91,2.41,0.79,0.34,0.33,0.14,0.01,28.14,1.08,-1.00,-1.00,50.29,0.19,0.19,0.18,23.89,-1.00,-1.00,-1.00,0.00,0.01,0.01,0.16,0.00,0.18,0.43,5.02,33.58,0.78,1.18,-1.00,-1.00,1.10,63.40,63.63,0.23,11.57,1407,,,,,
4627,Manning Robotics,3,4.08,0.00,-0.78,-0.78,-0.16,0.00,-9.81,-0.16,-1.00,-1.00,-3.27,-6.52,0.26,-3.81,-1.11,0.33,0.37,0.13,0.00,39.68,1.42,-1.00,-1.00,65.82,0.35,0.15,0.05,27.25,0.83,-1.00,-1.00,-0.02,0.00,-0.05,-0.08,0.02,-0.05,0.27,-1.76,29.87,0.83,1.26,-1.00,-1.00,-1.89,57.54,57.13,0.21,7.74,1465,,,,,
4634,The Wolfbotz,2,4.07,0.08,0.27,0.27,0.11,0.00,6.54,0.11,-1.00,-1.00,2.18,10.64,0.55,1.58,0.52,0.34,0.30,0.10,0.00,25.90,0.92,-1.00,-1.00,45.68,0.15,0.15,0.14,20.22,-1.00,-1.00,-1.00,0.00,0.00,0.06,0.12,0.06,0.13,1.85,3.59,31.20,0.73,1.01,-1.00,-1.00,0.74,58.08,58.24,0.19,4.40,1394,,,,,
4733,Scarlett Robotics,2,3.42,-0.07,-0.09,-0.09,0.03,0.00,2.07,0.03,-1.00,-1.00,0.69,5.99,-0.18,-0.13,-0.04,0.32,0.25,0.03,-0.01,21.30,0.58,-1.00,-1.00,36.20,0.06,0.06,0.06,12.68,-1.00,-1.00,-1.00,-0.00,-0.01,0.16,0.02,0.17,0.01,4.77,0.67,26.30,0.62,0.66,-1.00,-1.00,-0.00,47.16,47.18,0.11,-10.34,1398,,,,,
4774,The Drop Bears,3,5.04,0.00,0.06,0.06,0.10,0.00,6.08,0.10,-1.00,-1.00,2.03,11.18,-0.15,-0.42,-0.13,0.33,0.34,0.02,0.08,27.26,1.15,-1.00,-1.00,40.28,0.05,-0.10,0.31,13.15,0.50,-1.00,-1.00,-0.01,0.08,-0.21,-0.12,0.24,0.14,5.00,2.93,33.34,0.78,1.26,-1.00,-1.00,-0.07,54.39,62.28,0.18,8.02,1407,,,,,
5015,SWAT Bots Robotics,2,4.41,0.15,0.45,0.46,0.15,0.00,8.87,0.15,-1.00,-1.00,2.96,13.06,0.93,2.47,0.81,0.34,0.34,0.14,0.01,28.30,1.10,-1.00,-1.00,50.61,0.19,0.19,0.18,24.14,-1.00,-1.00,-1.00,0.00,0.01,0.01,0.17,-0.00,0.19,0.33,5.12,33.75,0.79,1.19,-1.00,-1.00,1.13,63.77,64.00,0.24,12.07,1460,,,,,
5078,ROBO-KAOS,2,4.27,0.12,0.37,0.38,0.13,0.00,7.88,0.13,-1.00,-1.00,2.63,12.03,0.77,2.09,0.69,0.34,0.32,0.12,0.01,27.28,1.02,-1.00,-1.00,48.51,0.17,0.17,0.17,22.47,-1.00,-1.00,-1.00,0.00,0.01,0.03,0.14,0.02,0.16,0.98,4.47,32.66,0.76,1.11,-1.00,-1.00,0.96,61.34,61.54,0.22,8.80,1415,,,,,
5118,KHS,3,1.40,-0.20,0.01,-0.05,0.05,-0.00,2.53,0.04,-1.00,-1.00,0.84,3.87,-1.85,0.52,-0.11,0.33,0.33,0.01,0.03,26.84,0.88,-1.00,-1.00,32.13,-0.04,-0.00,0.15,5.40,0.08,-1.00,-1.00,-0.01,0.03,0.03,-0.10,-0.11,0.19,-2.70,4.27,29.37,0.71,0.92,-1.00,-1.00,-0.16,40.27,43.57,-0.04,-42.47,1385,,,,,
5515,Blue Power Robotics,3,4.84,-0.05,-1.13,-1.13,0.33,0.00,19.96,0.33,-1.00,-1.00,6.65,23.67,-0.01,-3.30,-1.10,0.33,0.42,0.23,0.00,26.32,1.44,-1.00,-1.00,56.21,0.15,0.38,0.08,30.99,0.94,-1.00,-1.00,-0.01,0.00,-0.12,0.18,0.59,0.55,14.16,14.76,46.28,0.99,1.77,-1.00,-1.00,-2.23,94.63,94.52,0.54,52.92,1466,,,,,
5597,RoboMaidens,2,1.62,-0.47,-1.09,-1.09,-0.17,0.00,-10.41,-0.17,-1.00,-1.00,-3.47,-6.96,-2.21,-4.88,-1.60,0.28,0.08,-0.17,-0.03,8.48,-0.36,-1.00,-1.00,9.81,-0.16,-0.16,-0.17,-8.31,-1.00,-1.00,-1.00,-0.02,-0.03,0.43,-0.26,0.49,-0.31,12.91,-7.47,12.65,0.32,-0.31,-1.00,-1.00,-2.07,16.75,16.36,-0.13,-51.38,1335,,,,,
5630,Canada Crew,3,4.38,-0.28,-0.13,-0.21,0.10,-0.02,4.94,0.08,-1.00,-1.00,1.65,9.10,-4.47,-0.60,-0.65,0.33,0.33,0.01,0.01,24.07,0.68,-1.00,-1.00,48.02,0.36,0.32,-0.18,24.60,0.27,-1.00,-1.00,-0.01,0.01,-0.00,0.14,-0.02,0.24,-0.56,6.76,29.01,0.68,0.76,-1.00,-1.00,-0.87,63.88,64.65,0.10,4.99,1437,,,,,
