Wisconsin,wimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
93,NEW Apple Corps,3.32,0.45,0.17,0.31,0.38,0.00,22.87,0.38,-1.00,-1.00,7.62,26.50,0.13,1.39,0.45,0.33,0.35,0.32,0.05,26.97,1.91,-1.00,-1.00,97.65,0.42,0.57,0.41,70.23,0.85,-1.00,-1.00,0.00,0.05,0.12,0.04,0.33,-0.02,8.78,-0.34,49.84,1.06,2.29,-1.00,-1.00,0.76,123.81,128.74,0.45,57.59,1529,,,,,
269,CooneyTech,4.05,0.27,1.60,1.72,0.38,0.00,22.58,0.38,-1.00,-1.00,7.53,28.35,-1.56,5.70,1.54,0.33,0.27,0.30,-0.00,20.87,1.33,-1.00,-1.00,57.81,0.20,0.19,0.32,35.40,0.58,-1.00,-1.00,0.00,-0.00,0.07,0.20,0.17,0.37,4.65,10.25,43.44,0.90,1.71,-1.00,-1.00,3.26,96.41,95.94,0.44,31.77,1492,,,,,
537,Charger Robotics,3.30,-0.16,2.58,2.50,0.18,0.00,10.64,0.18,-1.00,-1.00,3.55,16.44,-0.05,22.45,7.29,0.33,0.05,-0.18,-0.03,-0.29,-1.00,-1.00,-1.00,48.97,0.04,0.28,0.51,41.97,0.89,-1.00,-1.00,0.00,-0.03,-0.12,0.09,-0.19,-0.21,-5.45,-4.89,10.35,0.17,-0.82,-1.00,-1.00,9.79,60.52,57.46,0.29,-2.12,1500,,,,,
706,Cyberhawks,5.00,0.95,0.20,0.49,0.54,0.00,32.35,0.54,-1.00,-1.00,10.78,37.84,3.73,-3.64,-0.83,0.33,0.33,0.22,-0.14,8.03,0.14,-1.00,-1.00,73.45,0.58,0.34,0.41,66.25,0.92,-1.00,-1.00,0.00,-0.14,-0.02,-0.12,0.40,-0.24,9.95,-6.48,40.39,0.74,0.68,-1.00,-1.00,-0.34,104.81,90.72,0.31,10.12,1562,,,,,
930,Mukwonago BEARs,3.67,-0.98,0.83,0.54,0.37,0.00,22.45,0.37,-1.00,-1.00,7.48,26.66,2.48,34.41,11.44,0.33,0.36,-0.09,-0.01,8.98,-0.06,-1.00,-1.00,47.13,0.08,0.21,0.24,26.71,0.79,-1.00,-1.00,0.00,-0.01,-0.11,-0.03,-0.19,-0.17,-5.23,-4.29,31.44,0.60,0.32,-1.00,-1.00,11.98,69.50,68.63,0.12,8.59,1510,,,,,
1091,Oriole Assault,5.13,0.43,-0.08,0.04,0.24,0.00,14.28,0.24,-1.00,-1.00,4.76,19.46,-0.23,0.18,-0.03,0.33,0.35,0.45,-0.11,31.36,1.61,-1.00,-1.00,79.29,0.34,0.40,0.22,47.96,1.00,-1.00,-1.00,0.00,-0.11,0.06,-0.14,0.07,0.52,2.03,12.36,45.65,1.02,1.84,-1.00,-1.00,0.01,111.11,100.06,0.21,38.42,1539,,,,,
1259,Paradigm Shift,5.54,-0.89,1.58,1.28,0.43,0.00,26.03,0.43,-1.00,-1.00,8.68,32.85,-1.14,1.97,0.44,0.33,0.34,0.24,0.07,22.13,1.63,-1.00,-1.00,53.17,-0.14,0.22,0.54,30.61,0.77,-1.00,-1.00,0.00,0.07,0.02,0.02,0.14,-0.09,3.52,-2.04,48.16,0.99,2.07,-1.00,-1.00,1.71,83.98,90.72,0.16,17.76,1511,,,,,
1306,BadgerBOTS,3.52,0.56,-0.46,-0.29,0.19,0.00,11.14,0.19,-1.00,-1.00,3.71,14.37,-0.47,-0.42,-0.29,0.33,0.35,0.12,0.07,27.35,1.39,-1.00,-1.00,67.62,0.28,0.15,0.38,40.57,0.80,-1.00,-1.00,0.00,0.07,-0.13,-0.05,-0.11,-0.19,-3.31,-4.86,38.49,0.87,1.58,-1.00,-1.00,-0.59,77.13,83.98,0.26,1.18,1457,,,,,
1675,UPS (Ultimate Protection Squad),5.49,0.03,-0.52,-0.47,0.39,0.00,23.37,0.39,-1.00,-1.00,7.79,28.39,0.26,2.63,0.93,0.33,0.33,0.56,-0.00,33.23,2.49,-1.00,-1.00,70.47,0.14,0.29,0.29,36.31,0.50,-1.00,-1.00,0.00,-0.00,-0.05,0.03,-0.25,0.08,-6.52,2.11,56.60,1.22,2.88,-1.00,-1.00,0.46,100.97,100.60,0.28,23.35,1508,,,,,
1714,MORE Robotics,5.11,0.22,0.56,0.65,0.35,0.00,21.05,0.35,-1.00,-1.00,7.02,26.81,-2.10,0.53,-0.11,0.33,0.38,0.33,-0.06,24.91,1.33,-1.00,-1.00,39.12,0.09,0.21,-0.02,14.32,0.75,-1.00,-1.00,0.00,-0.06,-0.10,0.01,0.13,0.63,2.78,15.76,45.96,0.97,1.68,-1.00,-1.00,0.54,81.68,75.29,0.49,24.26,1495,,,,,
1716,Redbird Robotics,4.43,-0.09,-0.10,-0.12,0.21,0.00,12.53,0.21,-1.00,-1.00,4.18,16.84,0.03,-0.81,-0.21,0.33,0.34,0.12,0.08,26.32,1.40,-1.00,-1.00,16.17,-0.29,0.10,-0.01,-9.95,0.00,-1.00,-1.00,0.00,0.08,-0.00,0.04,-0.10,0.05,-2.42,1.43,38.85,0.87,1.61,-1.00,-1.00,-0.33,34.43,42.02,-0.05,-55.12,1363,,,,,
1732,Hilltoppers,5.60,-1.06,5.78,5.46,0.17,0.00,10.15,0.17,-1.00,-1.00,3.38,21.20,-1.37,18.03,5.51,0.33,0.32,0.51,0.12,44.42,3.21,-1.00,-1.00,94.21,0.44,0.46,-0.02,44.27,0.78,-1.00,-1.00,0.00,0.12,-0.01,-0.03,0.07,0.25,1.67,6.21,54.57,1.28,3.38,-1.00,-1.00,10.97,121.62,133.49,0.35,71.35,1633,,,,,
1781,Electric Eagles,4.83,6.90,0.39,2.57,0.01,0.00,0.41,0.01,-1.00,-1.00,0.14,7.81,1.89,6.22,2.32,0.33,0.36,0.11,-0.05,29.94,0.86,-1.00,-1.00,79.78,0.31,0.42,0.22,47.52,0.50,-1.00,-1.00,0.00,-0.05,0.11,0.17,-0.05,-0.02,-0.68,0.41,30.34,0.76,0.86,-1.00,-1.00,4.89,88.00,83.12,0.22,-11.55,1440,,,,,
1792,Round Table Robotics,4.92,-0.00,-0.36,-0.33,0.17,0.00,10.19,0.17,-1.00,-1.00,3.40,14.78,2.24,1.25,0.45,0.33,0.34,0.28,0.11,35.69,2.28,-1.00,-1.00,78.00,0.13,0.44,0.27,41.86,0.80,-1.00,-1.00,0.00,0.11,-0.06,-0.05,-0.29,0.31,-7.59,7.50,45.88,1.06,2.45,-1.00,-1.00,0.11,100.28,110.99,0.33,37.39,1440,,,,,
1985,Robohawks,4.79,0.40,-0.50,-0.45,0.24,0.00,14.35,0.24,-1.00,-1.00,4.78,18.68,-0.68,-2.62,-0.87,0.33,0.31,0.07,0.03,20.39,0.85,-1.00,-1.00,37.79,-0.22,0.33,0.25,18.28,0.50,-1.00,-1.00,0.00,0.03,0.12,0.43,0.13,-0.11,3.83,-0.67,34.73,0.75,1.09,-1.00,-1.00,-1.33,55.81,58.62,0.03,-30.87,1462,,,,,
2062,C.O.R.E  2062,4.19,4.45,-0.43,0.91,0.29,0.00,17.16,0.29,-1.00,-1.00,5.72,22.27,5.72,-3.27,-0.48,0.33,0.35,0.58,0.18,46.44,3.83,-1.00,-1.00,96.66,0.19,0.32,0.50,50.70,0.80,-1.00,-1.00,0.00,0.18,0.17,0.34,0.02,-0.10,1.32,-0.77,63.60,1.45,4.11,-1.00,-1.00,0.43,118.15,136.29,0.51,57.46,1592,,,,,
2077,Laser Robotics,4.68,0.01,0.01,-0.02,0.28,0.00,16.61,0.28,-1.00,-1.00,5.54,21.28,-0.34,0.71,0.14,0.33,0.39,0.07,-0.08,17.73,0.32,-1.00,-1.00,36.22,0.16,-0.05,0.26,18.36,0.77,-1.00,-1.00,0.00,-0.08,0.09,0.25,-0.03,0.13,-0.21,4.45,34.34,0.72,0.60,-1.00,-1.00,0.12,61.95,53.89,0.01,-7.88,1404,,,,,
2143,Team Tobor,4.84,7.67,0.11,2.45,-0.07,0.00,-4.06,-0.07,-1.00,-1.00,-1.35,3.23,-1.24,8.74,2.77,0.33,0.36,0.29,0.13,47.07,2.71,-1.00,-1.00,87.33,0.25,0.28,0.22,37.49,0.83,-1.00,-1.00,0.00,0.13,0.06,0.20,-0.23,0.35,-5.59,9.85,43.01,1.11,2.64,-1.00,-1.00,5.22,100.41,113.07,0.36,24.27,1434,,,,,
2194,Fondy Fire,4.88,1.12,-0.24,0.10,0.63,0.00,37.67,0.63,-1.00,-1.00,12.56,42.66,-1.30,-2.54,-0.94,0.33,0.35,0.48,0.01,21.81,2.03,-1.00,-1.00,81.52,0.41,0.34,0.47,60.65,0.83,-1.00,-1.00,0.00,0.01,0.13,-0.17,0.32,-0.29,8.72,-8.01,59.48,1.17,2.66,-1.00,-1.00,-0.84,116.17,116.80,0.16,14.06,1552,,,,,
2202,BEAST Robotics,4.91,-1.15,0.24,-0.10,0.60,0.00,36.03,0.60,-1.00,-1.00,12.01,40.85,2.30,-2.24,-0.57,0.33,0.33,0.15,0.02,8.90,0.74,-1.00,-1.00,54.52,0.15,0.35,0.43,46.19,0.92,-1.00,-1.00,0.00,0.02,0.27,-0.13,-0.18,0.18,-3.11,3.80,44.94,0.82,1.34,-1.00,-1.00,-0.67,99.17,100.75,0.11,26.54,1479,,,,,
2220,Blue Twilight ,3.39,-0.62,4.15,3.98,-0.13,0.00,-7.51,-0.13,-1.00,-1.00,-2.50,-0.14,-1.05,4.86,1.33,0.33,0.37,0.16,-0.03,38.35,1.32,-1.00,-1.00,51.40,-0.17,0.30,0.10,11.72,0.40,-1.00,-1.00,0.00,-0.03,0.21,0.28,-0.04,0.36,-0.01,10.50,30.84,0.83,1.20,-1.00,-1.00,5.31,61.76,58.83,0.07,-6.36,1426,,,,,
