,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,subtracted Opponent teleop Fuel Points,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,The Cheesy Poofs,3,3.65,-0.70,30.03,29.83,0.54,0.00,32.61,0.54,-1.00,-1.00,10.87,66.09,-1.31,51.42,16.79,0.35,0.34,0.23,0.24,24.27,2.48,-1.00,-1.00,108.38,0.64,0.22,0.49,67.32,1.00,-1.00,-1.00,0.98,0.24,-0.06,-0.03,0.40,0.29,9.80,7.06,56.88,1.15,3.02,-1.00,-1.00,46.62,181.53,224.66,0.56,137.28,1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,CyberKnights,3,4.75,-0.08,21.72,21.70,0.08,0.00,4.77,0.08,-1.00,-1.00,1.59,31.21,-0.19,67.16,22.12,0.33,0.33,0.44,0.07,43.72,2.74,-1.00,-1.00,124.34,0.23,0.51,0.43,58.49,0.78,-1.00,-1.00,0.92,0.07,-0.02,0.24,0.20,0.10,4.75,3.83,48.49,1.17,2.82,-1.00,-1.00,43.82,159.38,184.32,0.56,112.77,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,Aluminum Falcons,3,4.07,0.09,-0.23,-0.21,0.46,0.00,27.58,0.46,-1.00,-1.00,9.19,31.44,0.29,-6.02,-1.97,0.33,0.34,0.49,0.40,44.34,4.59,-1.00,-1.00,97.24,0.27,0.33,0.50,54.87,0.89,-1.00,-1.00,-0.05,0.40,-0.10,0.10,-0.13,0.39,-3.67,10.27,71.92,1.57,5.05,-1.00,-1.00,-2.17,138.95,178.29,0.38,63.56,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Thunder Robotics,3,4.17,0.08,0.80,0.80,0.47,0.00,28.48,0.47,-1.00,-1.00,9.49,33.45,-0.28,-0.08,-0.02,0.33,0.34,0.41,0.29,35.87,3.55,-1.00,-1.00,85.95,0.13,0.48,0.40,50.10,0.88,-1.00,-1.00,0.00,0.29,0.12,0.46,0.26,1.08,7.00,29.40,64.36,1.37,4.02,-1.00,-1.00,0.78,148.81,177.97,0.60,99.46,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Team THRUST,3,4.67,0.00,4.73,4.73,0.15,0.00,8.84,0.15,-1.00,-1.00,2.95,18.24,0.01,-0.39,-0.11,0.33,0.35,0.39,0.55,59.28,5.42,-1.00,-1.00,99.74,0.35,0.18,0.28,40.56,0.84,-1.00,-1.00,0.00,0.55,0.07,0.06,0.01,-0.05,0.62,-0.87,68.12,1.63,5.57,-1.00,-1.00,4.62,117.11,172.54,0.37,35.80,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848,⚡ ALL SPARKS ⚡,3,4.92,0.00,3.31,3.31,0.50,0.00,29.75,0.50,-1.00,-1.00,9.92,37.97,0.00,-0.97,-0.31,0.33,0.34,0.57,0.23,38.95,3.83,-1.00,-1.00,79.86,0.38,0.15,0.30,41.22,0.68,-1.00,-1.00,0.00,0.23,-0.05,0.29,-0.08,1.20,-2.28,31.48,68.70,1.47,4.32,-1.00,-1.00,3.01,149.32,172.51,0.52,83.61,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,Elysium ,3,5.30,0.00,-0.01,-0.01,0.46,0.00,27.58,0.46,-1.00,-1.00,9.19,32.87,-0.00,2.06,0.67,0.33,0.33,0.40,0.51,44.82,4.89,-1.00,-1.00,77.97,-0.08,0.33,0.40,32.48,0.79,-1.00,-1.00,0.02,0.51,0.97,-0.18,-0.12,0.41,1.76,9.25,72.40,1.58,5.35,-1.00,-1.00,0.66,120.09,171.71,0.21,6.52,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4561,TerrorBytes,3,5.33,0.08,2.76,2.76,0.17,0.00,10.09,0.17,-1.00,-1.00,3.36,18.18,0.51,3.28,1.07,0.33,0.33,0.38,0.39,50.54,4.34,-1.00,-1.00,105.26,0.37,0.41,0.29,53.66,0.95,-1.00,-1.00,0.02,0.39,-0.03,0.27,0.00,0.27,-0.09,8.14,60.62,1.43,4.50,-1.00,-1.00,3.83,131.58,170.89,0.45,48.30,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Team Titanium,3,6.29,-0.04,30.40,30.40,0.25,0.00,15.13,0.25,-1.00,-1.00,5.04,51.82,-0.56,67.90,22.32,0.33,0.33,0.28,-0.04,26.19,1.29,-1.00,-1.00,107.37,0.19,0.39,0.60,58.87,0.94,-1.00,-1.00,0.97,-0.04,0.07,-0.09,0.07,-0.18,1.96,-4.85,41.32,0.91,1.54,-1.00,-1.00,52.73,154.34,169.49,0.63,68.31,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Team Hammond,3,4.89,0.00,0.02,0.02,0.43,0.00,25.60,0.43,-1.00,-1.00,8.53,30.51,-0.04,2.94,0.91,0.33,0.33,0.38,0.41,41.12,4.23,-1.00,-1.00,84.92,0.25,0.23,0.37,42.89,0.75,-1.00,-1.00,0.00,0.41,-0.15,0.03,0.04,0.51,0.31,12.96,66.72,1.45,4.66,-1.00,-1.00,0.93,128.40,169.28,0.42,62.05,1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,Friarbots,3,3.78,0.00,16.04,16.04,0.07,0.00,4.05,0.07,-1.00,-1.00,1.35,23.87,-0.15,53.93,17.66,0.33,0.35,0.17,0.06,34.00,1.69,-1.00,-1.00,115.28,0.52,0.47,0.28,63.62,0.94,-1.00,-1.00,0.60,0.06,0.27,-0.00,-0.05,0.44,0.14,10.93,38.05,0.92,1.76,-1.00,-1.00,33.70,150.07,168.36,0.27,78.96,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3538,RoboJackets,3,5.26,0.00,0.70,0.70,0.61,0.00,36.75,0.61,-1.00,-1.00,12.25,42.71,-0.14,0.09,0.02,0.33,0.37,0.65,0.17,36.34,3.74,-1.00,-1.00,104.29,0.43,0.60,0.32,67.94,0.89,-1.00,-1.00,0.00,0.17,-0.02,0.07,-0.10,0.12,-2.49,3.27,73.09,1.52,4.35,-1.00,-1.00,0.72,150.28,167.19,0.56,115.61,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,MisCar,3,5.15,0.18,18.60,18.60,0.51,0.00,30.74,0.51,-1.00,-1.00,10.25,54.48,-0.02,58.02,19.18,0.33,0.33,0.33,-0.04,18.00,1.26,-1.00,-1.00,98.90,0.34,0.36,0.53,61.72,0.94,-1.00,-1.00,0.84,-0.04,0.05,0.24,0.08,-0.03,2.19,0.49,48.73,0.96,1.78,-1.00,-1.00,37.77,153.86,167.10,0.38,57.27,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Up-A-Creek Robotics,3,5.12,-0.58,22.57,22.39,0.43,0.00,25.87,0.43,-1.00,-1.00,8.62,53.38,-3.18,50.88,16.48,0.33,0.36,0.10,-0.01,13.97,0.63,-1.00,-1.00,91.94,0.31,0.43,0.49,61.48,0.71,-1.00,-1.00,0.81,-0.01,0.06,0.28,-0.07,0.19,-1.42,6.05,39.84,0.78,1.06,-1.00,-1.00,38.87,151.37,166.25,0.64,109.57,1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Robonauts,3,3.73,0.00,22.68,22.68,0.10,0.00,6.14,0.10,-1.00,-1.00,2.05,32.56,0.54,90.05,29.73,0.33,0.41,0.49,-0.00,45.36,2.68,-1.00,-1.00,112.97,0.44,0.19,0.13,37.89,0.94,-1.00,-1.00,0.90,-0.00,-0.15,0.22,-0.24,0.02,-6.71,1.51,51.50,1.24,2.78,-1.00,-1.00,52.41,147.05,164.94,0.45,102.91,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,G.R.R. (Greater Rochester Robotics),3,5.12,-0.15,-0.76,-0.79,0.42,0.00,24.97,0.42,-1.00,-1.00,8.32,29.30,-0.09,-2.61,-0.76,0.33,0.33,0.41,0.46,44.75,4.65,-1.00,-1.00,81.38,0.23,0.11,0.41,37.39,1.00,-1.00,-1.00,-0.01,0.46,0.34,0.14,-0.08,0.19,-0.38,5.46,69.72,1.53,5.07,-1.00,-1.00,-1.55,116.14,161.86,0.11,49.97,1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3238,Cyborg Ferrets,3,5.03,0.00,-0.22,-0.22,0.28,0.00,16.95,0.28,-1.00,-1.00,5.65,21.76,0.01,2.32,0.82,0.34,0.38,0.64,0.23,52.24,4.43,-1.00,-1.00,108.93,0.42,0.29,0.41,55.87,1.00,-1.00,-1.00,0.00,0.23,0.17,0.16,0.09,0.22,3.07,6.43,69.19,1.59,4.71,-1.00,-1.00,0.60,137.12,160.01,0.45,67.97,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
