,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
708,Hatters Robotics,St. Louis,MARHatboroHorsham,1,4.79,0.00,-0.06,-0.06,0.22,0.00,13.00,0.22,-1.00,-1.00,4.33,17.72,0.24,11.59,3.70,0.33,0.36,0.59,0.00,42.77,2.87,-1.00,-1.00,114.51,0.49,0.63,0.24,68.04,-1.00,-1.00,-1.00,0.00,0.00,0.18,-0.02,-0.35,0.06,-7.73,1.38,55.77,1.29,3.09,-1.00,-1.00,3.63,133.61,133.61,0.61,86.97,1606,,,,,
1257,Parallel Universe,St. Louis,MARHatboroHorsham,1,4.83,0.00,0.11,0.11,-0.23,0.00,-13.94,-0.23,-1.00,-1.00,-4.65,-9.00,0.43,-0.08,-0.02,0.33,0.34,0.62,0.00,61.21,3.42,-1.00,-1.00,113.05,0.57,0.17,0.30,51.85,-1.00,-1.00,-1.00,0.00,0.00,0.26,0.42,-0.01,0.09,0.91,4.43,47.27,1.30,3.19,-1.00,-1.00,0.09,108.48,108.48,0.35,36.24,1566,,,,,
5293,Metal Crusaders,Houston,PCHGainesville,1,3.02,0.00,0.50,0.50,0.08,0.00,5.07,0.08,-1.00,-1.00,1.69,8.59,-0.33,0.18,0.04,0.33,0.30,0.01,0.00,22.32,0.55,-1.00,-1.00,70.05,0.35,0.25,0.36,47.68,-1.00,-1.00,-1.00,0.00,0.00,-0.07,0.08,0.01,0.23,0.00,6.17,27.39,0.64,0.63,-1.00,-1.00,0.55,84.81,84.81,0.48,59.45,1520,,,,,
4941,RoboBibb,Houston,PCHGainesville,1,5.17,0.00,-0.05,-0.05,-0.15,0.00,-8.95,-0.15,-1.00,-1.00,-2.98,-3.83,-0.01,-1.32,-0.41,0.34,0.47,0.37,0.00,53.41,2.58,-1.00,-1.00,99.54,0.23,0.27,0.43,46.54,-1.00,-1.00,-1.00,0.00,0.00,-0.05,0.20,-0.13,0.18,-3.40,5.40,44.47,1.19,2.43,-1.00,-1.00,-0.45,101.12,101.12,0.64,83.64,1517,,,,,
1647,Iron Devils,St. Louis,MARHatboroHorsham,1,5.51,0.00,-0.16,-0.16,0.44,0.00,26.18,0.44,-1.00,-1.00,8.73,31.53,0.45,0.44,0.19,0.33,0.23,-0.24,0.00,-4.52,-0.84,-1.00,-1.00,41.25,0.18,0.48,0.25,45.58,-1.00,-1.00,-1.00,0.00,0.00,0.14,0.01,-0.02,0.09,0.30,2.27,21.66,0.32,-0.40,-1.00,-1.00,0.03,75.05,75.05,0.27,8.96,1436,,,,,
2180,Zero Gravity,St. Louis,MARHatboroHorsham,1,4.78,0.00,-0.07,-0.07,0.16,0.00,9.43,0.16,-1.00,-1.00,3.14,14.15,-0.48,-0.00,0.05,0.33,0.21,0.19,0.00,23.17,1.04,-1.00,-1.00,63.24,0.46,0.26,0.08,40.01,-1.00,-1.00,-1.00,0.00,0.00,0.18,0.08,0.43,-0.00,11.61,0.28,32.61,0.74,1.20,-1.00,-1.00,-0.01,77.67,77.67,0.33,17.14,1444,,,,,
5895,Peddie School Robotics,St. Louis,MARHatboroHorsham,1,3.45,0.00,-0.15,-0.15,0.10,0.00,6.25,0.10,-1.00,-1.00,2.08,9.55,-0.05,-0.02,0.05,0.33,0.35,0.20,0.00,30.90,1.38,-1.00,-1.00,70.56,0.06,0.25,0.48,39.62,-1.00,-1.00,-1.00,0.00,0.00,-0.15,0.30,-0.01,0.12,-1.05,4.49,37.15,0.88,1.48,-1.00,-1.00,-0.10,84.60,84.60,0.37,34.84,1612,,,,,
4189,Chargers,Houston,PCHGainesville,1,2.23,0.00,-0.01,-0.01,0.26,0.00,15.83,0.26,-1.00,-1.00,5.28,18.05,-0.35,0.50,0.16,0.35,0.20,0.02,0.00,12.02,0.22,-1.00,-1.00,51.34,0.55,0.06,0.17,39.16,-1.00,-1.00,-1.00,0.00,0.00,0.10,-0.19,0.03,-0.08,1.22,-2.97,27.85,0.56,0.48,-1.00,-1.00,0.15,66.42,66.42,0.34,39.95,1458,,,,,
341,Miss Daisy,St. Louis,MARHatboroHorsham,1,3.90,0.00,-0.06,-0.06,-0.02,0.00,-1.47,-0.02,-1.00,-1.00,-0.49,2.37,0.59,-1.36,-0.38,0.33,0.35,-0.00,0.00,28.31,0.71,-1.00,-1.00,65.57,0.07,0.47,0.22,37.64,-1.00,-1.00,-1.00,0.00,0.00,0.00,0.15,-0.14,0.13,-3.48,4.00,26.84,0.68,0.69,-1.00,-1.00,-0.44,71.94,71.94,0.51,26.65,1606,,,,,
