number,actualNumRPs,actualSeed,autoShootingPositions,avgAgility,avgBallControl,avgDefense,avgDrivingAbility,avgGearControl,avgGearsEjectedTele,avgGearsFumbledTele,avgGearsPlacedAuto,avgGearsPlacedByLiftAuto,avgGearsPlacedByLiftTele,avgGearsPlacedTele,avgHighShotsAuto,avgHighShotsTele,avgHoppersOpenedAuto,avgHoppersOpenedTele,avgKeyShotTime,avgLowShotsAuto,avgLowShotsTele,avgSpeed,baselineReachedPercentage,disabledPercentage,disfunctionalPercentage,firstPickAbility,firstPickRotorBonusChance,gearScoringPositionsAuto,incapacitatedPercentage,liftoffAbility,liftoffPercentage,overallSecondPickAbility,pitAllImageURLs,pitAvailableWeight,pitCheesecake,pitDidTankTread,pitNotes,pitOrganization,pitProgrammingLanguage,pitSelectedImageName,predictedNumRPs,predictedSeed,RScoreAgility,RScoreBallControl,RScoreDefense,RScoreDrivingAbility,RScoreGearControl,RScoreSpeed,sdBaselineReachedPercentage,sdGearsPlacedAuto,sdGearsPlacedTele,sdHighShotsAuto,sdHighShotsTele,sdLiftoffAbility,sdLowShotsAuto,sdLowShotsTele
1323,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
3925,19,17,,2.0,2.0,2.0,1.6,2.0,0.0,0.0,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.0, 'lift2': 1.0, 'lift3': 0.0}",1.0,0.0,0.0,0.0,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,93.06666666666666,0.0,,0.0,0.0,0.0,0.0,{},,,,,,,,0.22165257258386462,6,-0.2672612419124245,0.0,0.0,-0.20851441405707502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3495,19,18,,1.0,1.0,1.0,0.8,1.0,0.0,0.0,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}",0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,53.06666666666666,0.0,,0.0,0.0,0.0,-2.449489742783178,{},,,,,,,,0.26598308710063756,5,-1.0690449676496978,-1.224744871391589,-1.224744871391589,-1.4596008983995234,-1.224744871391589,-1.224744871391589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,24,6,,4.0,3.0,3.0,2.8000000000000003,3.0,0.0,0.0,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}",0.0,0.0,123.0,0.0,0.5,,0.0,0.0,3.0,0.0,0.0,0.0,114.06666666666666,0.0,,0.0,0.0,0.0,2.449489742783178,{},,,,,,,,0.8183552481774493,4,1.3363062095621219,1.224744871391589,1.224744871391589,1.668115312456598,1.224744871391589,1.224744871391589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5499,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5137,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5136,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5496,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5134,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
3045,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
