number,0,1,2,3,4,5,6,7,8
1323,False,False,False,False,False,False,False,False,False
5012,False,False,False,False,False,False,False,False,False
199,False,False,False,False,False,False,False,False,False
3615,False,False,False,False,False,False,False,False,False
3598,False,False,False,False,False,False,False,True,False
701,False,False,False,False,False,False,False,False,False
5507,False,False,False,False,False,False,False,False,False
100,False,False,False,False,False,False,False,False,False
2473,False,False,False,False,False,False,False,False,False
5496,False,False,False,False,False,False,False,False,False
3257,False,False,False,False,False,False,False,False,False
6174,False,False,False,False,False,False,False,False,False
692,False,False,False,False,False,False,False,False,False
3128,False,False,False,False,False,False,False,False,False
973,False,False,False,False,False,False,False,False,False
1056,False,False,False,False,False,False,False,False,False
4171,False,False,False,False,False,False,False,False,False
3250,False,False,False,False,False,False,False,False,False
4698,False,False,False,False,False,False,False,False,False
3013,False,True,False,True,False,False,False,False,False
1072,False,False,False,False,False,False,False,False,False
6474,False,False,False,False,False,False,False,False,False
1678,False,False,False,False,False,False,False,False,False
5905,False,False,False,False,False,False,False,False,False
2073,False,False,False,False,False,False,False,False,False
3189,False,False,False,False,False,False,False,False,False
3859,False,False,False,False,False,False,False,False,False
2543,False,False,False,False,False,False,False,False,False
585,False,False,False,False,False,False,False,False,False
1351,False,False,False,False,False,False,False,False,False
3501,False,False,False,False,False,False,False,False,False
3669,False,False,False,False,False,False,False,False,False
6305,False,False,False,False,False,False,False,False,False
5458,False,False,False,False,False,False,False,False,False
2085,False,False,False,False,False,False,False,False,False
2204,False,False,False,False,False,False,False,False,False
4543,False,False,False,False,False,False,False,False,False
5480,False,False,False,False,False,False,False,False,False
1700,False,False,False,False,False,False,False,False,False
2551,False,False,False,False,False,False,False,False,False
4669,False,False,False,False,False,False,False,False,False
6612,False,False,False,False,False,False,False,False,False
4643,False,False,False,False,False,False,False,False,False
4135,False,False,False,False,False,False,False,False,False
1671,False,False,False,False,False,False,False,False,False
6644,False,False,False,False,False,False,False,False,False
1388,False,False,False,True,False,False,False,False,False
5274,False,False,False,False,False,False,False,False,False
2141,False,False,False,False,False,False,False,False,False
5875,False,False,False,False,False,False,False,False,False
649,False,False,False,False,False,False,False,False,False
2102,False,False,False,False,False,False,False,False,False
295,False,False,False,False,False,False,False,False,False
1458,False,False,False,False,False,False,False,False,False
1662,False,False,True,False,False,False,False,False,False
6665,False,False,False,False,False,False,False,False,False
