team Number,auto Fuel High,auto Scored Gears,teleop Scored Gears,teleop Takeoff Points
,,,,
988,-0.27,-0.00,0.41,8.93
5453,0.08,0.14,1.66,23.52
2637,1.12,-0.07,2.67,39.64
981,-0.25,0.11,0.12,25.28
987,7.20,0.48,1.37,61.43
60,-0.35,0.30,0.72,32.22
1138,-0.46,0.06,0.59,14.10
4470,0.03,0.12,2.06,19.57
4201,2.80,0.32,-0.28,27.56
3009,0.27,0.28,0.69,21.51
118,22.68,0.10,2.68,37.89
5458,0.37,-0.04,2.54,61.21
6436,0.06,0.04,0.58,10.54
5823,0.51,0.18,1.08,37.56
691,0.73,0.14,1.24,-7.74
5199,0.76,0.30,3.06,13.77
4160,0.38,0.18,-0.41,23.34
3045,0.15,0.08,-0.25,24.15
2485,1.10,0.42,0.83,20.47
3495,0.24,-0.27,0.42,9.21
3965,0.22,0.05,1.27,1.10
1678,23.14,0.10,2.40,46.24
5012,-0.40,0.31,2.25,50.79
6060,0.55,0.17,1.19,26.26
4499,0.08,0.54,2.19,43.67
2429,0.15,0.50,-0.45,35.48
585,-2.88,-0.02,0.33,12.83
6519,0.06,0.04,0.58,10.54
5025,2.78,-0.22,0.63,38.34
148,13.63,-0.04,2.29,30.71
1266,-0.23,0.18,0.30,9.07
4501,0.41,-0.08,1.08,26.04
5049,0.17,0.09,0.83,18.12
5677,-0.45,0.13,1.05,32.12
3647,0.20,0.07,2.84,44.90
4792,-0.03,-0.03,1.56,23.98
1828,-0.79,0.02,-0.32,27.43
5089,0.35,-0.16,2.00,32.85
5429,0.12,-0.18,1.11,18.64
842,1.42,0.42,1.08,29.36
6405,0.06,0.04,0.58,10.54
3011,-1.05,0.25,0.78,24.38
2144,0.45,0.28,1.25,60.02
5851,0.88,0.35,1.53,21.50
649,-0.94,0.54,1.90,46.46
295,1.82,0.16,0.63,31.51
1538,0.80,0.70,2.70,47.21
