number,predictedScore,actualScore
1,5.3785629840369147,211
1,5.689568850182761,308
2,5.303857546923652,220
2,5.421272190606814,255
3,5.1390610826850782,280
3,5.3656231060733397,213
4,5.6955918350646817,322
4,5.0389090464295361,185
5,5.7469619754233605,341
5,5.7015577796340899,180
6,5.3966990411915026,188
6,5.8038700755465564,261
7,5.6907474818722674,293
7,5.3783600742215736,250
8,5.6209625896782347,261
8,5.6758984965872177,278
9,5.4084166365530359,115
9,5.4260777195191174,227
10,5.4285567665672865,241
10,5.3885642443958144,300
11,5.4572186491338925,230
11,5.2137272982474174,150
12,5.7680511288052605,377
12,5.5606816310155276,255
13,5.5438892479089006,207
13,5.2540171076514568,205
14,5.6315680158222152,266
14,5.3576339437044558,195
15,5.2557577521292407,170
15,5.8113247505373096,350
16,5.4939755201866438,305
16,5.6346916688698689,370
17,5.2382134424783313,140
17,5.3727030779064329,295
18,5.421272190606814,200
18,5.4419154864636026,235
19,5.7328928547786164,319
19,5.4244604213883916,255
20,5.5062344705309547,245
20,5.3202962732668118,140
21,5.6955918350646817,218
21,5.6188259180424565,209
22,5.8036649259905477,338
22,5.7382232636333619,301
23,5.640061561818003,305
23,5.360248324278527,145
24,5.4401172733435539,360
24,5.3439278778000894,255
25,5.5880947032196291,255
25,5.6477902798205299,350
26,5.519236222840135,280
26,5.3211111585489004,198
27,5.4604809348475802,270
27,5.5794039397406472,346
28,5.4829510631003711,235
28,5.4921465301934713,255
29,5.4332366844474071,285
29,5.6903472558128243,337
30,5.6495909621737983,253
30,5.3908009929763745,258
31,5.5723211978776837,310
31,5.5824771912492013,306
32,5.3547502085824394,255
32,5.6248194308493993,305
33,5.3552751429776952,255
33,5.6228134121225342,260
34,5.4991679159653657,216
34,5.2299736349735264,198
35,5.4224996364464504,234
35,5.4251947256681126,205
36,5.4598509519194502,262
36,5.241158952708088,195
37,5.53480047358814,245
37,5.7296621416300146,391
38,5.3885642443958144,280
38,5.7587534392735558,282
39,5.4750565156676183,255
39,5.835207957684494,373
40,5.5667377368058437,255
40,5.5082161313237687,290
41,5.5276638619868539,255
41,5.6517391262459213,328
42,5.6241460247185424,256
42,5.0897140563601804,98
43,5.5211116505263043,260
43,5.4019571402832067,205
44,5.5555297474482694,330
44,5.5992013518682811,300
45,5.5258955149301121,285
45,5.6195953884283334,330
46,5.3089567985578121,158
46,5.7866324819132053,330
47,5.3814322732585431,270
47,5.2764317847892004,270
48,4.8806953281692405,210
48,5.6389064009633465,306
49,5.55687479961873,310
49,5.4959472695230582,220
50,5.4086654237169016,265
50,4.972510276745326,155
51,5.457692470512101,306
51,5.62842015488377,255
52,5.5438745126991469,300
52,5.7258750694872944,232
53,5.476609842048731,234
53,5.5830683112808348,292
54,5.5417139474016262,233
54,5.5057831051430171,285
55,5.6991706836255629,288
55,5.5170065675128663,305
56,5.3444585225458914,310
56,5.5270282693205859,296
57,5.6291563561617073,327
57,5.3607880772631926,211
58,5.6634697706753574,305
58,5.5839139325087963,255
59,5.3008142467466239,258
59,5.5730890768113213,281
60,5.6356134037370955,288
60,5.4944322454743268,265
61,5.7090363849393562,324
61,5.3682557168549154,335
62,5.5223494119233614,262
62,5.6008448087365075,276
63,5.1774044378827258,145
63,5.5190299960669114,217
64,5.4712212051748006,247
64,5.4286143674958947,255
65,5.4880190306396139,255
65,5.602528740951028,280
66,5.6734083677642513,288
66,5.6489875033187049,308
67,5.7674792641236845,347
67,5.3213826394790331,235
68,5.5430981513105246,345
68,5.412089734624268,266
69,5.1683294718623198,277
69,5.2405705443357125,165
70,5.7829260799697915,376
70,5.5251520604449871,210
71,5.036591786966814,205
71,5.1059454739005803,305
