number,incapacitatedPercentage,disabledPercentage,liftoffPercentage,avgAgility,avgSpeed,avgGearGroundIntakesTele,avgGearLoaderIntakesTele,avgBallControl,avgGearControl,avgDefense,disfunctionalPercentage,avgGearsPlacedAuto,avgGearsPlacedTele,avgHoppersOpenedAuto,avgHoppersOpenedTele,avgGearsEjectedTele,avgLiftoffTime,avgGearsFumbledTele
2240,0.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,9.6829999999999998,2.0
5635,0.0,0.0,1.0,1.5,1.125,0.0,3.5,0.0,2.0,,0.0,0.75,3.75,0.0,0.0,0.0,9.1091666666666669,0.25
1156,0.0,0.0,0.0,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
4486,0.0,0.0,1.0,1.5,1.5,0.25,2.0,0.0,1.625,,0.0,0.0,3.0,0.0,0.75,0.0,2.8263333333333329,0.0
3335,0.0,0.0,0.33333333333333331,2.6666666666666665,2.3333333333333335,0.0,2.6666666666666665,0.0,2.0,,0.0,0.33333333333333331,2.0,0.0,0.66666666666666663,0.0,,1.0
2839,0.0,0.0,1.0,,,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,9.9670000000000005,0.0
1678,,,,,,,,,,,,,,,,,,
3473,0.0,0.0,0.75,2.625,2.25,0.0,3.0,0.0,1.625,,0.0,0.25,3.0,0.0,0.25,0.0,3.6292222222222219,0.75
3218,0.0,0.0,0.5,1.3333333333333333,1.0,0.25,0.75,0.0,1.0,1.0,0.0,0.25,0.75,0.0,0.0,0.25,5.3105000000000002,0.25
5892,0.0,0.0,0.66666666666666663,1.5,1.25,0.0,2.6666666666666665,0.0,1.5,,0.0,0.66666666666666663,2.3333333333333335,0.0,0.33333333333333331,0.0,6.4461666666666666,0.0
3735,0.0,0.0,0.5,2.1666666666666665,2.5,4.0,0.75,0.16666666666666666,2.1666666666666665,1.0,0.0,0.25,4.25,0.25,0.0,0.0,7.266,0.75
2073,0.0,0.0,1.0,2.3999999999999999,2.3999999999999999,3.0,0.0,1.0,2.3999999999999999,,0.0,0.25,2.25,0.0,0.0,0.25,4.7159166666666668,0.5
900,0.0,0.0,0.7142857142857143,4.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.7142857142857143,1.0714285714285714,0.0,10.575766666666667,0.0
6430,0.5,0.0,0.0,1.0,1.5,0.0,1.5,0.0,1.5,,0.25,0.5,1.5,0.0,0.0,0.0,,0.5
159,,,,2.0,2.0,,,0.0,2.0,,,,,,,,,
3616,0.0,0.0,1.0,1.5,2.0,0.0,3.2000000000000002,0.0,2.75,,0.0,1.0,2.6000000000000001,0.0,0.0,0.0,8.9715999999999987,0.40000000000000002
3489,0.0,0.0,1.0,1.75,1.25,5.25,0.0,0.0,1.0,,0.0,1.0,4.25,0.0,0.0,0.0,7.4954166666666673,1.0
5160,0.0,0.0,1.0,1.75,1.75,3.0,0.0,0.0,2.5,,0.0,0.75,2.75,0.0,0.25,0.0,5.5668333333333333,0.5
3847,0.16666666666666666,0.16666666666666666,0.5,2.0,1.75,0.5,1.5833333333333333,1.875,2.0,,0.25,0.83333333333333337,1.4166666666666667,0.0,0.33333333333333331,0.0,5.2909999999999995,0.5
4013,0.0,0.0,0.25,1.5,1.75,0.0,0.25,0.75,1.5,,0.0,0.0,1.25,0.0,0.0,0.0,12.942666666666668,1.25
5295,0.0,0.0,0.75,2.0,2.75,0.0,2.5,0.0,2.75,,0.0,0.5,2.75,0.0,0.0,0.0,13.932333333333332,0.0
2096,0.0,0.0,1.0,2.75,2.25,0.0,3.75,3.0,2.5,,0.0,0.0,4.0,0.0,0.0,0.0,14.179666666666664,0.0
6321,0.0,0.0,0.5,1.3333333333333333,1.3333333333333333,0.0,0.5,0.0,0.33333333333333331,3.0,0.0,0.0,0.5,0.0,1.0,0.0,8.7680000000000007,0.0
180,0.0,0.0,1.0,,,0.0,5.0,,,,0.0,0.66666666666666663,5.166666666666667,0.0,0.33333333333333331,0.0,1.6459000000000001,0.33333333333333331
4662,0.0,0.0,1.0,2.25,2.5,0.0,2.25,2.25,2.5,,0.0,0.0,2.75,0.0,0.25,0.0,8.6244791666666671,0.25
3255,0.0,0.0,0.80000000000000004,2.0,1.25,3.7999999999999998,0.0,0.0,1.75,,0.0,0.0,4.4000000000000004,0.0,0.20000000000000001,0.0,4.1836666666666664,0.0
696,0.0,0.0,0.5714285714285714,,,0.0,3.8571428571428572,,,,0.0,0.7142857142857143,3.8571428571428572,0.0,0.0,0.0,4.4065555555555553,0.0
3663,0.0,0.0,1.0,1.6666666666666667,1.8333333333333333,1.5,1.5,2.0,2.5,,0.0,0.5,2.25,0.0,0.0,0.0,6.7920833333333333,0.5
