num,number,error
1,1,41.0
2,2,25.0
3,3,50.0
4,4,31.0
5,5,35.0
6,6,45.0
7,7,52.0
8,8,28.5
9,9,58.5
10,10,88.22950819672133
11,11,80.0
12,12,72.12068965517244
13,13,57.0
14,14,44.5
15,15,50.0
16,16,121.66666666666663
17,17,131.66666666666666
18,18,26.68715846994536
19,19,59.39923954372625
20,20,48.33333333333334
21,21,87.37853107344631
22,22,33.896074933095406
23,23,69.92349726775956
24,24,176.4219630380888
25,25,112.46610169491527
26,26,77.25
27,27,90.56155654822953
28,28,62.5
29,29,90.45052855889355
30,30,143.49942642000735
31,31,105.91320257611244
32,32,81.375
33,33,55.0
34,34,39.938961038961054
35,35,74.29999999999998
36,36,32.087704918032784
37,37,86.64629603176775
38,38,106.35680641171382
39,39,56.411750497113445
40,40,51.845238095238074
41,41,53.787793218056265
42,42,45.73522106308994
43,43,37.057864949258374
44,44,75.99495730971876
45,45,100.66666666666666
46,46,50.62378232624752
47,47,150.66666666666666
48,48,118.45918367346938
49,49,16.887352664570926
50,50,65.07142857142858
51,51,80.0
52,52,121.5956129511043
53,53,36.35346149158224
54,54,58.571428571428555
55,55,100.18422664763833
56,56,148.1798155737705
57,57,92.40891154700239
58,58,30.834947839046208
59,59,79.84821428571428
60,60,22.787665319680116
61,61,141.0873005184331
62,62,11.388167134831463
63,63,63.45433530919084
64,64,33.694086927779296
65,65,24.33333333333337
66,66,28.687664663199712
67,67,57.047018582053084
68,68,129.2101168182629
69,69,123.48989898989902
70,70,90.54990108684191
71,71,188.88888888888889
