number,actualScore,predictedScore
1,308,55.0
1,211,55.0
2,255,259.0
2,220,259.0
3,213,257.0
3,280,257.0
4,185,256.83333333333331
4,322,256.83333333333331
5,180,252.125
5,341,252.125
6,261,250.30000000000001
6,188,250.30000000000001
7,250,245.08333333333334
7,293,245.08333333333334
8,278,246.57142857142858
8,261,221.04761904761904
9,227,215.0
9,115,205.0
10,300,205.0
10,241,215.0
11,150,255.0
11,230,145.0
12,255,295.0
12,377,233.0
13,205,198.0
13,207,256.0
14,195,235.0
14,266,258.0
15,350,367.0
15,170,215.0
16,370,290.0
16,305,255.0
17,295,160.0
17,140,205.0
18,235,244.15573770491804
18,200,235.0
19,255,141.5
19,319,265.0
20,140,235.0
20,245,235.0
21,209,263.5
21,218,292.06779661016947
22,301,300.5
22,338,293.43220338983053
23,145,190.0
23,305,235.11475409836066
24,255,189.66666666666669
24,360,214.87931034482759
25,350,264.045197740113
25,255,218.66666666666669
26,198,128.33333333333334
26,280,255.0
27,346,270.49470362857789
27,270,242.66666666666669
28,255,188.33333333333334
28,235,271.66666666666669
29,337,333.00552236103567
29,285,218.33333333333334
30,258,167.40983606557376
30,253,320.77059173357122
31,306,254.18715846994536
31,310,227.26190476190476
32,305,263.33333333333337
32,255,199.0
33,260,267.5
33,255,197.5
34,198,176.52272727272725
34,216,247.19642857142856
35,205,186.125
35,234,211.5
36,195,182.5
36,262,239.39036885245901
37,391,308.995900012535
37,245,266.64752005224466
38,282,322.60225801464225
38,280,215.0
39,373,336.37102772143339
39,255,231.78389830508473
40,290,239.95714285714286
40,255,260.80357142857144
41,328,273.35680641171382
41,255,266.80000000000001
42,98,142.0181818181818
42,256,265.06408345752607
43,205,238.1122950819672
43,260,245.64285714285714
44,300,281.37893258426965
44,330,262.42711864406783
45,330,268.19999999999999
45,285,235.0
46,330,319.16113085881875
46,158,201.09672001002801
47,270,185.59999999999999
47,270,205.59999999999999
48,306,268.79761904761904
48,210,120.0
49,220,195.55340288127172
49,310,317.51815810593905
50,155,137.41666666666666
50,265,211.66666666666666
51,255,273.16666666666663
51,306,238.83333333333334
52,232,312.64942723083379
52,300,246.0
53,292,260.35593220338984
53,234,243.93497061023584
54,285,251.66666666666666
54,233,272.16666666666663
55,305,246.66666666666666
55,288,274.75982582956283
56,296,259.50878220140515
56,310,195.0
57,211,174.42857142857144
57,327,266.01989390606968
58,255,269.28571428571428
58,305,284.04577389823294
59,281,264.03061224489795
59,258,192.14285714285714
60,265,233.57142857142856
60,288,283.8157733523617
61,335,223.96938775510205
61,324,298.72548308097441
62,276,276.5563804173355
62,262,251.57142857142856
63,217,260.69669774342083
63,145,176.25
64,255,228.75
64,247,235.75852228498843
65,280,273.75
65,255,237.0
66,308,281.69620253164555
66,288,288.31448519585263
67,235,205.875
67,347,318.97516531968012
68,266,217.11183286516854
68,345,249.27678571428572
69,165,196.125
69,277,176.19886363636363
70,210,280.41505216095379
70,376,322.11516343825667
71,305,161.66666666666669
71,205,157.5
